Mesh,z,x,y,r,T,U,Vol
0.0,1.0,0.00044000125490128994,0.0015346449799835682,0.0015964762193354076,313.184,0.484052,6.102167981343461e-11
0.0,1.0,0.00013198934993852163,0.0016191924805752933,0.0016245631651766468,313.702,0.464719,5.812092522904148e-11
0.0,1.0,0.00019128419717162615,0.0013039099867455661,0.0013178660393311666,308.21,0.647473,5.7717704309432255e-11
0.0,1.0,-0.0004299092433939222,-0.0015383149730041623,0.0015972585619505476,313.196,0.483675,6.099945570568982e-11
0.0,1.0,-0.0001222157470692764,-0.001622567477170378,0.0016271637615196408,313.748,0.462989,5.771127993554582e-11
0.0,1.0,-0.00017952462621906307,-0.0013089574640616775,0.0013212110861409965,308.267,0.645714,5.735296420405223e-11
0.0,1.0,0.00014761189333967195,0.0003355598441885377,0.0003665919803912224,297.76,0.951384,1.2172575981024036e-10
0.0,1.0,0.00033325439392228873,-9.669365817899234e-05,0.00034699878184303156,297.659,0.954276,1.285805648561884e-10
0.0,1.0,-2.6764499125420116e-05,0.0007514902608818375,0.0007519667217461732,300.58,0.869771,1.0513147386498187e-10
0.0,1.0,-0.0004745370060845744,0.0005318779913068283,0.0007127970032065917,300.167,0.881064,1.2012991756168518e-10
0.0,1.0,-0.00032263235959817393,8.19830843283853e-05,0.0003328856644193026,297.6,0.956107,1.289943786325298e-10
0.0,1.0,-0.00013641885641391127,-0.0003496704098324699,0.0003753391798063277,297.803,0.950136,1.2106487011250297e-10
0.0,1.0,3.901420313923154e-05,-0.0007615099893882871,0.0007625087356776566,300.695,0.866505,1.0373084223643315e-10
0.0,1.0,0.00048585975673631765,-0.0005428987496998161,0.0007285593700183241,300.322,0.876632,1.1855558667341136e-10
0.0,1.0,0.0009852977527771145,-0.00031902675436867867,0.0010356590807937933,303.705,0.778735,1.501684252832161e-10
0.0,1.0,0.0008407967543462291,0.00018322999494557735,0.0008605303092668553,301.554,0.839875,1.6097900217253339e-10
0.0,1.0,0.0006000364955980331,0.0006127874949015677,0.0008576434631927811,301.612,0.839278,1.2401261903494333e-10
0.0,1.0,0.00037690075077989604,0.0009860057616606355,0.0010555858742738173,304.216,0.765892,9.17582019513661e-11
0.0,1.0,-0.00016485580363223562,0.0011490069882711396,0.0011607732315517725,305.795,0.721018,8.572870048546984e-11
0.0,1.0,-0.0005770889983978122,0.0009793072240427136,0.0011366944845181734,305.408,0.731945,1.0143405777784787e-10
0.0,1.0,-0.0010144239786313847,0.000813432241557166,0.0013002799775536974,307.848,0.65782,1.0484874016587611e-10
0.0,1.0,-0.0009762684931047261,0.00030870375303493347,0.0010239131690562564,303.536,0.783556,1.5218807444870322e-10
0.0,1.0,-0.0008315737504744902,-0.00019670300571306143,0.0008545214888665834,301.48,0.841985,1.6181991022764236e-10
0.0,1.0,-0.0005889507447136566,-0.0006245370022952557,0.0008584342997193873,301.625,0.838905,1.230199243366271e-10
0.0,1.0,-0.00036475104752753396,-0.0009935924754245207,0.0010584277650801967,304.26,0.764605,9.094628080201959e-11
0.0,1.0,0.0001765796241670614,-0.0011546422174433246,0.0011680663568365533,305.91,0.717703,8.490295137183903e-11
0.0,1.0,0.0005880255048396066,-0.0009847509791143239,0.0011469561827761746,305.57,0.727257,9.988645860159383e-11
0.0,1.0,0.0010233252542093396,-0.0008180762524716556,0.0013101310357214952,308.017,0.652696,1.0270548369059662e-10
0.0,1.0,0.0015033124946057796,-0.0002240496567083028,0.0015199166770283694,311.276,0.549881,1.3622885244948967e-10
0.0,1.0,0.0016363325121346861,0.00027078059542873234,0.001658585608622525,313.53,0.47217,1.0863410286253119e-10
0.0,1.0,0.0012956667633261532,0.0005685064879799029,0.001414903526203576,309.576,0.605455,1.4446610961780754e-10
0.0,1.0,0.0010076580074382946,0.00095613747544121,0.0013890909012363461,309.377,0.612969,1.2242761236414272e-10
0.0,1.0,0.0007200927648227662,0.0012847197212977335,0.0014727655455779177,310.927,0.562966,9.606918707307161e-11
0.0,1.0,-0.00024133165334205842,0.0015502424794249237,0.0015689145011498703,312.604,0.505573,8.564411234984156e-11
0.0,1.0,-0.0006508852529805154,0.0014186724729370326,0.0015608597624440143,312.373,0.513284,9.695406053129923e-11
0.0,1.0,-0.0010560839873505756,0.0012552974949358031,0.0016404527390724774,313.647,0.465558,8.76783124001603e-11
0.0,1.0,-0.0014235149719752371,0.0011210972734261304,0.0018119751576445974,316.382,0.356975,6.074118560920099e-11
0.0,1.0,-0.001454479992389679,0.0007133817634894513,0.0016200078977403783,313.216,0.481325,9.775510935653968e-11
0.0,1.0,-0.0014979899860918522,0.00021445875449899177,0.0015132635447312958,311.155,0.5539,1.3903218441656645e-10
0.0,1.0,-0.0016315299726556987,-0.0002812260006521683,0.001655589959838099,313.462,0.474397,1.076767297560042e-10
0.0,1.0,-0.0012897429842269048,-0.0005788722537545254,0.0014136937615797014,309.544,0.606477,1.4524390948360857e-10
0.0,1.0,-0.000999167503323406,-0.0009640667412895709,0.0013884381085803648,309.366,0.613297,1.2233747687001262e-10
0.0,1.0,-0.000710226253431756,-0.0012898374698124826,0.00147244763220835,310.921,0.563155,9.607606650923768e-11
0.0,1.0,0.00025065249883482466,-0.0015526374627370387,0.0015727395734407687,312.673,0.503107,8.472642358660829e-11
0.0,1.0,0.0006598547479370609,-0.0014192024536896497,0.0015651018794103483,312.449,0.510589,9.58692378221101e-11
0.0,1.0,0.0010632664925651625,-0.0012549862294690683,0.0016448483426653084,313.726,0.462604,8.608257824777048e-11
0.0,1.0,0.001427532493835315,-0.0011207315110368654,0.0018149071989461746,316.434,0.354761,5.984681609377594e-11
0.0,1.0,0.0014596749970223755,-0.0007168617594288662,0.0016262047469687577,313.332,0.477085,9.53945968668548e-11
0.0,1.0,0.0020371749997138977,0.00021662509902853344,0.002048660150681035,320.488,0.170482,9.018737442590351e-11
0.0,1.0,0.001938347500981763,0.0006206322432262823,0.0020352826378403402,320.343,0.182467,9.578028361761397e-11
0.0,1.0,0.0016963024972938001,0.0010001794871641323,0.0019692133375713993,319.24,0.242956,1.3891886017351642e-10
0.0,1.0,0.0013940799981355667,0.001372349972371012,0.0019562217379091714,319.106,0.252367,1.4407676400414157e-10
0.0,1.0,0.0010370500094722956,0.0016848949599079788,0.0019784700523560617,319.471,0.232964,1.3103078766025467e-10
0.0,1.0,0.0006372535062837414,0.0019105299725197256,0.0020140051656257355,320.032,0.201104,1.1011328723282194e-10
0.0,1.0,0.00020311590196797627,0.0020160700078122318,0.0020262759797303716,320.198,0.190141,1.0348694630626621e-10
0.0,1.0,-0.0002560438515502028,0.001999719999730587,0.002016045270136353,319.985,0.201226,1.12715944072482e-10
0.0,1.0,-0.00071409950760426,0.0018843274738173932,0.0020151000311011075,319.927,0.203286,1.1496130966130304e-10
0.0,1.0,-0.0011406532430555671,0.0016883974894881248,0.0020375907104722936,320.242,0.184228,1.0315973483568422e-10
0.0,1.0,-0.0015044549654703587,0.0014487474982161075,0.0020886009807322818,321.08,0.135485,6.999388459796995e-11
0.0,1.0,-0.0017518149688839912,0.0011354887537891045,0.0020876279350467487,321.059,0.136546,7.058202580024671e-11
0.0,1.0,-0.0019008349918294698,0.000717982002242934,0.002031913340107819,320.116,0.19053,1.0815715033355437e-10
0.0,1.0,-0.0019964675011578947,0.00024361449709431326,0.0020112758404490826,319.776,0.208742,1.2066961456545447e-10
0.0,1.0,-0.002034532488323748,-0.00022149875053401047,0.002046554211970196,320.468,0.171809,9.07633476221968e-11
0.0,1.0,-0.0019360124715603888,-0.0006246824996196665,0.002034299023095779,320.337,0.182711,9.583758765340606e-11
0.0,1.0,-0.0016944649687502533,-0.0010043249931186438,0.0019697411561229463,319.253,0.242304,1.38438309819756e-10
0.0,1.0,-0.0013909674889873713,-0.0013751824735663831,0.0019559952430985073,319.102,0.252583,1.4427234637398617e-10
0.0,1.0,-0.0010331094963476062,-0.00168681496870704,0.001978044481324355,319.464,0.233399,1.3135955637572627e-10
0.0,1.0,-0.0006329949901555665,-0.0019119449716527015,0.002014005022881049,320.03,0.201228,1.102764975199838e-10
0.0,1.0,-0.0001990116716115158,-0.0020173024968244135,0.002027095214619092,320.209,0.189409,1.0297084475038309e-10
0.0,1.0,0.00025989782534452345,-0.0020001124939881265,0.00201692758130435,319.997,0.200509,1.1224096191272918e-10
0.0,1.0,0.0007180334941949695,-0.001883447461295873,0.002015675181731349,319.932,0.20295,1.1480266306029689e-10
0.0,1.0,0.0011437669745646417,-0.0016873599670361727,0.0020384765268359278,320.259,0.183288,1.0240629173467829e-10
0.0,1.0,0.0015061324811540544,-0.0014480974932666868,0.0020893590885227293,321.091,0.134844,6.963467661291795e-11
0.0,1.0,0.0017531199846416712,-0.0011352567526046187,0.0020885970350655,321.074,0.135588,7.002202405099968e-11
0.0,1.0,0.0019022674823645502,-0.0007194189965957776,0.002033761359433412,320.15,0.188601,1.0674118911529549e-10
0.0,1.0,0.001998057501623407,-0.0002482724019046145,0.002013423195788967,319.821,0.206265,1.186421811031658e-10
0.0,1.0,0.00044000125490128994,0.0015346449799835682,0.0015964762193354076,313.387,0.484026,6.102213446284424e-11
0.0,1.0,0.00013198934993852163,0.0016191924805752933,0.0016245631651766468,313.894,0.464692,5.8121358266028074e-11
0.0,1.0,0.00019128419717162615,0.0013039099867455661,0.0013178660393311666,308.488,0.647465,5.771813434217259e-11
