 directory ET CT Processors "Total (sec)"
0 W1 257.84 260 5 1300
1 W2 201.76 203 5 1015
2 W3 353.84 356 9 3204
3 W4 446.95 450 9 4050
4 W5 1124.51 1129 12 13548
5 W6 1331.82 1338 12 16056
6 W7 564.87 569 12 6828
7 W8 694.96 698 12 8376
8 W9 1190.5 1196 12 14352
9 W10 5458.17 5478 12 65736
