 directory ET CT Processors "Total (sec)"
0 W1 322.37 419 3 1257
1 W2 737.46 870 3 2610
2 W3 1305.19 1479 5 7395
3 W4 2347.26 2580 9 23220
4 W5 4757.5 5044 18 90792
5 W6 10502.62 10898 18 196164
6 W7 13557.89 14062 18 253116
