directory ET CT Processors
W1 257.84 260 5  
W2 201.76 203 5 
W3 353.84 356 9 
W4 446.95 450 9 
W5 1124.51 1129 12
W6 1331.82 1338 12
W7 564.87 569 12
W8 694.96 698 12
W9 1190.5 1196 12
W10 5458.17 5478 12
