Mesh,z,x,y,r,T,U
0.0,1.0,0.00044000125490128994,0.0015346449799835682,0.0015964762193354076,313.184,0.484052
0.0,1.0,0.00013198934993852163,0.0016191924805752933,0.0016245631651766468,313.702,0.464719
0.0,1.0,0.00019128419717162615,0.0013039099867455661,0.0013178660393311666,308.21,0.647473
0.0,1.0,-0.0004299092433939222,-0.0015383149730041623,0.0015972585619505476,313.196,0.483675
0.0,1.0,-0.0001222157470692764,-0.001622567477170378,0.0016271637615196408,313.748,0.462989
0.0,1.0,-0.00017952462621906307,-0.0013089574640616775,0.0013212110861409965,308.267,0.645714
0.0,1.0,0.00014761189333967195,0.0003355598441885377,0.0003665919803912224,297.76,0.951384
0.0,1.0,0.00033325439392228873,-9.669365817899234e-05,0.00034699878184303156,297.659,0.954276
0.0,1.0,-2.6764499125420116e-05,0.0007514902608818375,0.0007519667217461732,300.58,0.869771
0.0,1.0,-0.0004745370060845744,0.0005318779913068283,0.0007127970032065917,300.167,0.881064
0.0,1.0,-0.00032263235959817393,8.19830843283853e-05,0.0003328856644193026,297.6,0.956107
0.0,1.0,-0.00013641885641391127,-0.0003496704098324699,0.0003753391798063277,297.803,0.950136
0.0,1.0,3.901420313923154e-05,-0.0007615099893882871,0.0007625087356776566,300.695,0.866505
0.0,1.0,0.00048585975673631765,-0.0005428987496998161,0.0007285593700183241,300.322,0.876632
0.0,1.0,0.0009852977527771145,-0.00031902675436867867,0.0010356590807937933,303.705,0.778735
0.0,1.0,0.0008407967543462291,0.00018322999494557735,0.0008605303092668553,301.554,0.839875
0.0,1.0,0.0006000364955980331,0.0006127874949015677,0.0008576434631927811,301.612,0.839278
0.0,1.0,0.00037690075077989604,0.0009860057616606355,0.0010555858742738173,304.216,0.765892
0.0,1.0,-0.00016485580363223562,0.0011490069882711396,0.0011607732315517725,305.795,0.721018
0.0,1.0,-0.0005770889983978122,0.0009793072240427136,0.0011366944845181734,305.408,0.731945
0.0,1.0,-0.0010144239786313847,0.000813432241557166,0.0013002799775536974,307.848,0.65782
0.0,1.0,-0.0009762684931047261,0.00030870375303493347,0.0010239131690562564,303.536,0.783556
0.0,1.0,-0.0008315737504744902,-0.00019670300571306143,0.0008545214888665834,301.48,0.841985
0.0,1.0,-0.0005889507447136566,-0.0006245370022952557,0.0008584342997193873,301.625,0.838905
0.0,1.0,-0.00036475104752753396,-0.0009935924754245207,0.0010584277650801967,304.26,0.764605
0.0,1.0,0.0001765796241670614,-0.0011546422174433246,0.0011680663568365533,305.91,0.717703
0.0,1.0,0.0005880255048396066,-0.0009847509791143239,0.0011469561827761746,305.57,0.727257
0.0,1.0,0.0010233252542093396,-0.0008180762524716556,0.0013101310357214952,308.017,0.652696
0.0,1.0,0.0015033124946057796,-0.0002240496567083028,0.0015199166770283694,311.276,0.549881
0.0,1.0,0.0016363325121346861,0.00027078059542873234,0.001658585608622525,313.53,0.47217
0.0,1.0,0.0012956667633261532,0.0005685064879799029,0.001414903526203576,309.576,0.605455
0.0,1.0,0.0010076580074382946,0.00095613747544121,0.0013890909012363461,309.377,0.612969
0.0,1.0,0.0007200927648227662,0.0012847197212977335,0.0014727655455779177,310.927,0.562966
0.0,1.0,-0.00024133165334205842,0.0015502424794249237,0.0015689145011498703,312.604,0.505573
0.0,1.0,-0.0006508852529805154,0.0014186724729370326,0.0015608597624440143,312.373,0.513284
0.0,1.0,-0.0010560839873505756,0.0012552974949358031,0.0016404527390724774,313.647,0.465558
