Mesh,z,x,y,r,T,U
2.2,1.0,-0.00032927812935668044,0.00022901525153429247,0.00040108860854922075,297.56,0.966525
2.2,1.0,-0.00032646924955770373,0.00034846899870899506,0.0004775068732154751,298.023,0.953411
2.2,1.0,-0.0003050791274290532,9.249455047211086e-05,0.00031879227697657664,297.156,0.978049
2.2,1.0,-0.00041760975000215694,8.938863766161376e-05,0.00042706935249425625,297.697,0.962648
2.2,1.0,-0.0004030398740724195,-4.201348792776116e-05,0.0004052237323506212,297.573,0.966158
2.2,1.0,-0.0003785043736570515,-0.0001761347512001521,0.00041747935452888726,297.642,0.964179
2.2,1.0,2.422626175757614e-05,0.00026000000252679456,0.0002611262397245435,296.921,0.984815
2.2,1.0,0.00015751909813843668,0.0002604257515486097,0.00030435807587117617,297.077,0.980327
2.2,1.0,0.00018451925188855967,0.00010531853718021011,0.0002124602282576507,296.769,0.989204
2.2,1.0,5.424952709631725e-05,0.00010497539983589377,0.00011816448603907954,296.563,0.995153
2.2,1.0,-0.0004759835028380621,-0.00021324550107237883,0.0005215687286461884,298.292,0.945803
2.2,1.0,-0.0005556016294576693,-0.00012144467427788186,0.00056871959660845,298.639,0.936041
2.2,1.0,-0.0005130628705956042,-2.2814550447947113e-05,0.0005135698714838553,298.236,0.947396
2.2,1.0,0.0003211152543372009,0.0005350178726075683,0.0006239864826881856,299.157,0.92152
2.2,1.0,0.0003494188749755267,0.0007794326156727038,0.0008541713836014149,301.453,0.857206
2.2,1.0,-0.0009450032521272078,-0.00017007112364808563,0.0009601850517634201,302.757,0.820356
2.2,1.0,-0.0008700581311131828,-0.0001339225855190307,0.0008803047258922709,301.763,0.848487
2.2,1.0,-0.0012544800119940192,0.00040280249959323555,0.0013175621253554129,308.047,0.663013
2.2,1.0,-0.0012423587613739073,0.0003342146264913026,0.0012865281607968128,307.569,0.678025
2.2,1.0,0.0014686224749311805,0.0005331877473508939,0.0015624151649923609,312.142,0.525389
2.2,1.0,0.0014874624903313816,0.00048597974455333315,0.0015648389604872952,312.185,0.523809
