Mesh,z,x,y,r,T,Vol,time
0,0.0620624981820583,0.000588725713896565,0.000672628535539843,0.000893883165198615,293.149993896484,1.12611972620573e-11,0
0,0.0620624981820583,0.000443265314970631,0.000691012683091685,0.00082096447404841,293.149993896484,1.17860603227585e-11,0
0,0.0620624981820583,0.000311721127218334,0.000746794175938703,0.000809241374603545,293.149993896484,8.84347078849139e-12,0
0,0.0620624981820583,-0.000500610054587014,0.000193303460036987,0.000536634563195369,293.149993896484,6.75545061761459e-12,0
0,0.0620624981820583,-0.000560800719540566,8.34479683362588e-05,0.000566975317325777,293.149993896484,1.06477162575069e-11,0
0,0.0620624981820583,-0.00066692812833935,0.000172525717061944,0.000688881884954138,293.149993896484,7.72909462339019e-12,0
0,0.0620624981820583,-0.000600542116444558,0.000270986853138311,0.000658851051602343,293.149993896484,7.28976589683479e-12,0
0,0.0620624981820583,-0.000699991214787588,0.000353962946974207,0.000784396244643272,293.149993896484,8.03515130927939e-12,0
0,0.0620624981820583,-0.000766481898608617,0.000253421243542107,0.000807289803957104,293.149993896484,7.64702343067089e-12,0
0,0.0620624981820583,0.000184308391908417,-0.000341939965437632,0.000388448868310046,293.149993896484,1.32539643445203e-11,0
0,0.0620624981820583,0.000175324157680734,-3.41302825290768e-05,0.000178615330954466,293.149993896484,7.40797862956127e-12,0
0,0.0620624981820583,7.90509070611733e-05,4.65651792183053e-05,9.17461815163288e-05,293.149993896484,8.99541871439554e-12,0
0,0.0620624981820583,-0.000395528244553134,0.000188996187716839,0.000438363035862722,293.149993896484,7.16146230577403e-12,0
0,0.0620624981820583,-0.000449045655841473,0.000285388206975767,0.000532060550793744,293.149993896484,5.71237895567322e-12,0
0,0.0620624981820583,0.000148216660818434,0.000688071828335524,0.000703854402197754,293.149993896484,6.54446500197307e-12,0
0,0.0620624981820583,0.000255400129390182,0.000626241046120413,0.000676318766513624,293.149993896484,8.84966622508954e-12,0
0,0.0620624981820583,0.000178419279109221,0.000520953683007974,0.000550659767004479,293.149993896484,8.28564064684339e-12,0
0,0.0620624981820583,8.3231738642553e-05,0.000596307188970968,0.000602087855662212,293.149993896484,6.3907056478868e-12,0
0,0.0620624981820583,-2.02624829626075e-06,0.000515117331815418,0.000515121316991244,293.149993896484,7.50784034582022e-12,0
0,0.0620624981820583,8.86741108843125e-05,0.00042681773629738,0.000435931735434739,293.149993896484,8.62166099489995e-12,0
0,0.0620624981820583,5.85334981906271e-06,0.000664578576106578,0.000664604352621882,293.149993896484,4.22953531638551e-12,0
0,0.0620624981820583,-8.14240843851621e-05,0.000605975452344865,0.000611421401622911,293.149993896484,7.01408372767029e-12,0
0,0.0620624981820583,0.000626443477813154,-0.000352747971192002,0.000718931541994586,293.149993896484,1.06071069753243e-11,0
0,0.0620624981820583,0.000759404036216438,-0.00032190509227803,0.000824813541751312,293.149993896484,9.19796832746924e-12,0
0,0.0620624981820583,0.000480546186736319,-0.000352807808667421,0.000596152654479979,293.149993896484,9.84414731983033e-12,0
0,0.0620624981820583,0.000478106572700199,-0.000488588651933242,0.000683596932158909,293.149993896484,9.52848934834912e-12,0
0,0.0620624981820583,0.000610403032624163,-0.00021842271235073,0.000648305748476307,293.149993896484,7.04036979759359e-12,0
0,0.0620624981820583,0.000656780815916136,-0.000121299392048968,0.00066788815131496,293.149993896484,6.60023994522036e-12,0
0,0.0620624981820583,0.000714724956196733,-0.000209280708077131,0.000744734971505761,293.149993896484,5.49833481206386e-12,0
0,0.0620624981820583,0.000588991562835872,-1.8168860606238e-05,0.000589271727293591,293.149993896484,9.6179885486682e-12,0
0,0.0620624981820583,0.000470108454464935,-7.95616911091201e-05,0.000476793479036315,293.149993896484,8.57145478839428e-12,0
0,0.0620624981820583,-0.000813431499409489,1.13644926500456e-05,0.000813510882486991,293.149993896484,4.42129696361896e-12,0
0,0.0620624981820583,-0.000340403064910788,0.00110198283800855,0.00115336049085533,293.149993896484,3.89910328875631e-12,0
0,0.0620624981820583,-0.000418395466112997,0.00107229390414432,0.00115102953173625,293.149993896484,3.93690864370951e-12,0
0,0.0620624981820583,-0.000352486888004933,0.00101837805414107,0.00107765526369593,293.149993896484,3.97595528273851e-12,0
0,0.0620624981820583,-1.74062922724261e-05,0.000140091390676389,0.000141168611073134,293.149993896484,9.6911571970287e-12,0
0,0.0620624981820583,-0.000117876998501742,3.8510679587489e-05,0.000124008303020685,293.149993896484,1.07808087595453e-11,0
0,0.0620624981820583,-1.12075434799408e-05,-6.22586940153269e-05,6.3259418360817e-05,293.149993896484,1.05847153886257e-11,0
0,0.0620624981820583,0.000104423188645342,-0.000145780085404112,0.00017932104067089,293.149993896484,9.92313322895568e-12,0
0,0.0620624981820583,-0.000110731109316475,0.000242338352109073,0.000266438089381751,293.149993896484,9.59584257764694e-12,0
0,0.0620624981820583,-0.000214052277442534,0.000150224371282093,0.000261506671435808,293.149993896484,1.01431464512791e-11,0
0,0.0620624981820583,-0.00033059516135836,6.33604231552454e-05,0.000336612097132548,293.149993896484,1.27885688578577e-11,0
0,0.0620624981820583,-0.000225964011406177,-6.77746575092897e-05,0.000235909174580541,293.149993896484,1.32456733001317e-11,0
