                    QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
54       Tavg_z0.001_t1       0  1.0  0.0   54  300.001174 -5.985027e-05  0.250000  1.944773e-06      NaN
55       Tavg_z0.001_t1       0  1.0  0.0   55  300.001164 -3.444700e-01  2.000000  2.217065e-06      NaN
56       Tavg_z0.001_t1       0  1.0  0.0   56  300.001165 -1.011131e-03  0.928304  1.736349e-06      NaN
57       Tavg_z0.001_t1       0  1.0  0.0   57  300.001165 -4.122218e-02  1.675068  1.049383e-06      NaN
58       Tavg_z0.001_t1       0  1.0  0.0   58  300.001168 -2.886425e-05  0.250000  2.092141e-06      NaN
59       Tavg_z0.001_t1       0  1.0  0.0   59  300.001167 -1.339896e-04  0.533507  1.167608e-06      NaN
60       Tavg_z0.001_t1       0  1.0  0.0   60  300.001167 -1.241611e-04  0.519618  9.169872e-07      NaN
61       Tavg_z0.001_t1       0  1.0  0.0   61  300.001166 -3.762134e-04  0.739714  2.718325e-07      NaN
62       Tavg_z0.001_t1       0  1.0  0.0   62  300.001164 -4.681694e-02  1.603874  1.961856e-06      NaN
63       Tavg_z0.001_t1       0  1.0  0.0   63  300.001169 -3.813146e-05  0.250000  1.436618e-06      NaN
64       Tavg_z0.001_t1       0  1.0  0.0   64  300.001167 -6.864101e-05  0.421962  4.036180e-07      NaN
65       Tavg_z0.001_t1       0  1.0  0.0   65  300.001165 -1.538807e-03  1.039722  1.097146e-06      NaN
66       Tavg_z0.001_t1       0  1.0  0.0   66  300.001164 -9.464381e-03  1.396468  1.412396e-06      NaN
67       Tavg_z0.001_t1       0  1.0  0.0   67  300.001165 -2.017557e-04  0.675076  1.535271e-06      NaN
68       Tavg_z0.001_t1       0  1.0  0.0   68  300.001164 -4.588852e-03  1.284288  9.202327e-07      NaN
69       Tavg_z0.001_t1       0  1.0  0.0   69  300.001164 -5.351452e-04  0.868815  1.135802e-06      NaN
70       Tavg_z0.001_t1       0  1.0  0.0   70  300.001165 -4.378188e-04  0.802083  1.065709e-06      NaN
71       Tavg_z0.001_t1       0  1.0  0.0   71  300.001166 -3.010471e-04  0.701280  4.484298e-07      NaN
72       Tavg_z0.001_t1       0  1.0  0.0   72  300.001167 -9.167407e-05  0.448958  3.084736e-07      NaN
73       Tavg_z0.001_t1       0  1.0  0.0   73  300.001164 -7.311159e-04  0.913330  6.817545e-07      NaN
74       Tavg_z0.001_t1       0  1.0  0.0   74  300.001166 -2.541198e-04  0.668400  8.911017e-07      NaN
75       Tavg_z0.001_t1       0  1.0  0.0   75  300.001170 -3.944426e-05  0.250000  2.251054e-06      NaN
76       Tavg_z0.001_t1       0  1.0  0.0   76  300.001166 -3.010493e-04  0.701280  1.035314e-06      NaN
77       Tavg_z0.001_t1       0  1.0  0.0   77  300.001164 -1.331089e-03  1.024917  7.722126e-07      NaN
78       Tavg_z0.001_t1       0  1.0  0.0   78  300.001166 -1.670286e-04  0.590473  1.282322e-06      NaN
79       Tavg_z0.001_t1       0  1.0  0.0   79  300.001165 -4.089245e-04  0.765625  9.987356e-07      NaN
80       Tavg_z0.001_t1       0  1.0  0.0   80  300.001164 -1.490585e-01  1.828478  9.962781e-07      NaN
81       Tavg_z0.001_t1       0  1.0  0.0   81  300.001165 -6.046835e-04  0.822266  1.212184e-06      NaN
82       Tavg_z0.001_t1       0  1.0  0.0   82  300.001177 -7.213851e-05  0.250000  1.015315e-06      NaN
83       Tavg_z0.001_t1       0  1.0  0.0   83  300.001166 -3.010472e-04  0.701280  8.537944e-07      NaN
84       Tavg_z0.001_t1       0  1.0  0.0   84  300.001165 -9.649859e-05  0.620139  5.646642e-07      NaN
85       Tavg_z0.001_t1       0  1.0  0.0   85  300.001165 -1.873856e-02  1.417220  1.453391e-06      NaN
86       Tavg_z0.001_t1       0  1.0  0.0   86  300.001166 -3.312903e-04  0.725016  1.891626e-06      NaN
87       Tavg_z0.001_t1       0  1.0  0.0   87  300.001173 -4.868640e-05  0.250000  1.398634e-06      NaN
88       Tavg_z0.001_t1       0  1.0  0.0   88  300.001166 -3.848017e-04  0.722930  1.380049e-06      NaN
89       Tavg_z0.001_t1       0  1.0  0.0   89  300.001164 -3.367264e-03  1.285183  1.161003e-06      NaN
90       Tavg_z0.001_t1       0  1.0  0.0   90  300.001166 -1.924361e-04  0.622605  8.658818e-07      NaN
91       Tavg_z0.001_t1       0  1.0  0.0   91  300.001166 -1.474389e-04  0.558030  2.722769e-07      NaN
92       Tavg_z0.001_t1       0  1.0  0.0   92  300.001166 -2.540568e-04  0.668338  8.606050e-07      NaN
93       Tavg_z0.001_t1       0  1.0  0.0   93  300.001165 -1.754552e-02  1.403524  1.246142e-06      NaN
94       Tavg_z0.001_t1       0  1.0  0.0   94  300.001165 -2.377793e-04  0.678757  1.708964e-06      NaN
95       Tavg_z0.001_t1       0  1.0  0.0   95  300.001167 -6.191086e-05  0.390538  1.230625e-06      NaN
96       Tavg_z0.001_t1       0  1.0  0.0   96  300.001164 -1.344556e-02  1.465365  9.193970e-07      NaN
97       Tavg_z0.001_t1       0  1.0  0.0   97  300.001170 -4.061360e-05  0.250000  9.610486e-07      NaN
98       Tavg_z0.001_t1       0  1.0  0.0   98  300.001165 -3.696348e-04  0.756999  5.369158e-07      NaN
99       Tavg_z0.001_t1       0  1.0  0.0   99  300.001165 -3.552641e-04  0.742187  7.345639e-07      NaN
100      Tavg_z0.001_t1       0  1.0  0.0  100  300.001169 -1.724815e-04  0.530729  1.649109e-06      NaN
101      Tavg_z0.001_t1       0  1.0  1.0    0  300.001165 -2.345590e-02  1.503341  4.052483e-07      NaN
102      Tavg_z0.001_t1       0  1.0  1.0    1  300.001174 -5.803605e-05  0.250000  2.049704e-06      NaN
103      Tavg_z0.001_t1       0  1.0  1.0    2  300.001165 -2.754835e-02  1.528589  1.567834e-06      NaN
104      Tavg_z0.001_t1       0  1.0  1.0    3  300.001164 -2.954689e-01  2.000000  1.194278e-06      NaN
105      Tavg_z0.001_t1       0  1.0  1.0    4  300.001165 -3.060347e-02  1.543614  1.747701e-06      NaN
106      Tavg_z0.001_t1       0  1.0  1.0    5  300.001165 -3.018898e-02  1.553054  4.557166e-07      NaN
107      Tavg_z0.001_t1       0  1.0  1.0    6  300.001165 -3.115699e-02  1.553369  2.747006e-07      NaN
108      Tavg_z0.001_t1       0  1.0  1.0    7  300.001165 -3.853104e-03  1.140164  3.966472e-07      NaN
109      Tavg_z0.001_t1       0  1.0  1.0    8  300.001165 -2.483510e-02  1.516553  1.370674e-06      NaN
110      Tavg_z0.001_t1       0  1.0  1.0    9  300.001165 -2.395269e-02  1.506315  2.093481e-07      NaN
111      Tavg_z0.001_t1       0  1.0  1.0   10  300.001165 -2.985881e-02  1.539602  4.123542e-07      NaN
112      Tavg_z0.001_t1       0  1.0  1.0   11  300.001182 -9.894076e-05  0.250000  2.624422e-06      NaN
113      Tavg_z0.001_t1       0  1.0  1.0   12  300.001165 -3.355629e-02  1.574137  3.820207e-06      NaN
114      Tavg_z0.001_t1       0  1.0  1.0   13  300.001164 -3.871366e-02  1.604896  3.564688e-06      NaN
115      Tavg_z0.001_t1       0  1.0  1.0   14  300.001165 -6.183254e-02  1.681912  2.581743e-07      NaN
116      Tavg_z0.001_t1       0  1.0  1.0   15  300.001165 -1.618896e-02  1.437142  1.211039e-06      NaN
117      Tavg_z0.001_t1       0  1.0  1.0   16  300.001165 -1.568327e-03  1.001230  1.067912e-06      NaN
118      Tavg_z0.001_t1       0  1.0  1.0   17  300.001165 -4.070061e-02  1.599862  1.501481e-06      NaN
119      Tavg_z0.001_t1       0  1.0  1.0   18  300.001164 -1.592035e-02  1.453190  1.769704e-06      NaN
120      Tavg_z0.001_t1       0  1.0  1.0   19  300.001164 -8.244580e-02  1.757419  7.595074e-07      NaN
121      Tavg_z0.001_t1       0  1.0  1.0   20  300.001164 -1.326443e-01  1.834384  1.908957e-06      NaN
122      Tavg_z0.001_t1       0  1.0  1.0   21  300.001169 -8.786290e-05  0.377344  5.450372e-07      NaN
123      Tavg_z0.001_t1       0  1.0  1.0   22  300.001164 -3.941373e-02  1.613392  1.543205e-06      NaN
124      Tavg_z0.001_t1       0  1.0  1.0   23  300.001166 -7.981001e-05  0.455035  1.929353e-06      NaN
125      Tavg_z0.001_t1       0  1.0  1.0   24  300.001164 -3.601261e-01  2.000000  1.774353e-06      NaN
126      Tavg_z0.001_t1       0  1.0  1.0   25  300.001165 -2.383334e-02  1.506798  3.160631e-06      NaN
127      Tavg_z0.001_t1       0  1.0  1.0   26  300.001165 -2.545074e-02  1.519385  1.386129e-06      NaN
128      Tavg_z0.001_t1       0  1.0  1.0   27  300.001165 -2.220026e-02  1.490682  8.126221e-07      NaN
129      Tavg_z0.001_t1       0  1.0  1.0   28  300.001165 -2.345592e-02  1.503341  1.717874e-07      NaN
130      Tavg_z0.001_t1       0  1.0  1.0   29  300.001165 -2.553090e-02  1.520219  1.636042e-06      NaN
131      Tavg_z0.001_t1       0  1.0  1.0   30  300.001165 -3.815233e-02  1.599783  2.663610e-06      NaN
132      Tavg_z0.001_t1       0  1.0  1.0   31  300.001165 -3.929113e-02  1.598918  6.821358e-07      NaN
133      Tavg_z0.001_t1       0  1.0  1.0   32  300.001165 -1.590573e-02  1.427181  1.620239e-06      NaN
134      Tavg_z0.001_t1       0  1.0  1.0   33  300.001164 -1.019986e-02  1.372050  2.514122e-06      NaN
135      Tavg_z0.001_t1       0  1.0  1.0   34  300.001165 -3.747371e-02  1.584207  3.858160e-06      NaN
136      Tavg_z0.001_t1       0  1.0  1.0   35  300.001165 -2.460428e-02  1.513440  1.793959e-06      NaN
137      Tavg_z0.001_t1       0  1.0  1.0   36  300.001164 -3.633251e-01  2.000000  1.485244e-06      NaN
138      Tavg_z0.001_t1       0  1.0  1.0   37  300.001164 -1.846066e-01  1.932520  4.761194e-07      NaN
139      Tavg_z0.001_t1       0  1.0  1.0   38  300.001164 -2.032392e-01  2.000000  2.118535e-06      NaN
140      Tavg_z0.001_t1       0  1.0  1.0   39  300.001166 -5.210473e-03  1.187250  2.561694e-06      NaN
141      Tavg_z0.001_t1       0  1.0  1.0   40  300.001165 -2.793375e-02  1.540153  1.950747e-06      NaN
142      Tavg_z0.001_t1       0  1.0  1.0   41  300.001164 -2.805350e-01  2.000000  3.266782e-06      NaN
143      Tavg_z0.001_t1       0  1.0  1.0   42  300.001179 -9.169801e-05  0.250000  2.411459e-06      NaN
144      Tavg_z0.001_t1       0  1.0  1.0   43  300.001165 -1.669849e-02  1.422201  1.420839e-06      NaN
145      Tavg_z0.001_t1       0  1.0  1.0   44  300.001174 -5.928447e-05  0.250000  3.007846e-06      NaN
146      Tavg_z0.001_t1       0  1.0  1.0   45  300.001166 -8.210783e-04  0.848063  1.299043e-06      NaN
147      Tavg_z0.001_t1       0  1.0  1.0   46  300.001164 -4.895212e-02  1.650126  2.706373e-06      NaN
148      Tavg_z0.001_t1       0  1.0  1.0   47  300.001164 -6.147238e-02  1.682069  3.432029e-06      NaN
149      Tavg_z0.001_t1       0  1.0  1.0   48  300.001191 -1.527091e-04  0.250000  2.471998e-06      NaN
150      Tavg_z0.001_t1       0  1.0  1.0   49  300.001165 -1.632227e-02  1.450838  2.125285e-06      NaN
151      Tavg_z0.001_t1       0  1.0  1.0   50  300.001170 -3.586059e-05  0.250000  8.815161e-07      NaN
152      Tavg_z0.001_t1       0  1.0  1.0   51  300.001165 -3.395434e-02  1.572879  9.331417e-07      NaN
153      Tavg_z0.001_t1       0  1.0  1.0   52  300.001165 -1.376278e-02  1.390243  2.761790e-07      NaN
154      Tavg_z0.001_t1       0  1.0  1.0   53  300.001164 -2.734966e-01  2.000000  3.303732e-06      NaN
155      Tavg_z0.001_t1       0  1.0  1.0   54  300.001174 -5.804702e-05  0.250000  2.899325e-06      NaN
156      Tavg_z0.001_t1       0  1.0  1.0   55  300.001172 -4.828820e-05  0.250000  1.966756e-06      NaN
157      Tavg_z0.001_t1       0  1.0  1.0   56  300.001165 -2.459384e-02  1.512777  6.615952e-07      NaN
158      Tavg_z0.001_t1       0  1.0  1.0   57  300.001165 -2.989834e-03  1.198231  1.217565e-06      NaN
159      Tavg_z0.001_t1       0  1.0  1.0   58  300.001165 -1.785441e-02  1.447656  1.822476e-06      NaN
160      Tavg_z0.001_t1       0  1.0  1.0   59  300.001164 -7.347964e-02  1.734304  3.741012e-07      NaN
161      Tavg_z0.001_t1       0  1.0  1.0   60  300.001165 -2.416882e-02  1.496977  2.205246e-06      NaN
162      Tavg_z0.001_t1       0  1.0  1.0   61  300.001164 -2.613700e-01  1.976766  1.244362e-06      NaN
