                    QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
550      Tavg_z0.001_t1       0  inf  1.0   45  300.001165 -4.331718e-02  2.000000  5.339902e-07      NaN
551      Tavg_z0.001_t1       0  inf  1.0   46  300.001165 -2.118924e-01  2.000000  5.594144e-07      NaN
552      Tavg_z0.001_t1       0  inf  1.0   47  300.001170 -1.945236e-04  0.480729  1.637550e-07      NaN
553      Tavg_z0.001_t1       0  inf  1.0   48  300.001165 -3.216269e-01  2.000000  3.823853e-07      NaN
554      Tavg_z0.001_t1       0  inf  1.0   49  300.001164  1.567507e-05  0.250000  1.177792e-06      NaN
555      Tavg_z0.001_t1       0  inf  1.0   50  300.001166 -5.231977e-02  2.000000  8.056397e-07      NaN
556      Tavg_z0.001_t1       0  inf  1.0   51  300.001159  5.634716e-05  0.250000  1.414328e-06      NaN
557      Tavg_z0.001_t1       0  inf  1.0   52  300.001156  9.575507e-05  0.250000  3.035727e-06      NaN
558      Tavg_z0.001_t1       0  inf  1.0   53  300.001145  1.365813e-04  0.250000  1.715798e-06      NaN
559      Tavg_z0.001_t1       0  inf  1.0   54  300.001175 -7.176792e-05  0.250000  6.889432e-07      NaN
560      Tavg_z0.001_t1       0  inf  1.0   55  300.001171 -5.383893e-05  0.250000  2.523422e-06      NaN
561      Tavg_z0.001_t1       0  inf  1.0   56  300.001165 -2.381826e-01  1.779724  6.060667e-07      NaN
562      Tavg_z0.001_t1       0  inf  1.0   57  300.001166 -8.361454e-04  0.917924  2.904272e-07      NaN
563      Tavg_z0.001_t1       0  inf  1.0   58  300.001165 -3.146847e-01  2.000000  6.927074e-07      NaN
564      Tavg_z0.001_t1       0  inf  1.0   59  300.001157  7.660724e-05  0.250000  2.121125e-06      NaN
565      Tavg_z0.001_t1       0  inf  1.0   60  300.001181 -1.331740e-04  0.250000  1.673839e-06      NaN
566      Tavg_z0.001_t1       0  inf  1.0   61  300.001152  1.254848e-04  0.250000  2.941008e-06      NaN
567      Tavg_z0.001_t1       0  inf  1.0   62  300.001144  1.445789e-04  0.250000  1.932034e-06      NaN
568      Tavg_z0.001_t1       0  inf  1.0   63  300.001166 -3.730006e-02  2.000000  8.463340e-07      NaN
569      Tavg_z0.001_t1       0  inf  1.0   64  300.001189 -1.464853e-04  0.250000  2.977882e-06      NaN
570      Tavg_z0.001_t1       0  inf  1.0   65  300.001146  4.688076e-04  0.410156  2.812762e-06      NaN
571      Tavg_z0.001_t1       0  inf  1.0   66  300.001174 -6.129326e-05  0.250000  6.847523e-07      NaN
572      Tavg_z0.001_t1       0  inf  1.0   67  300.001170 -6.723258e-04  0.614868  8.609526e-07      NaN
573      Tavg_z0.001_t1       0  inf  1.0   68  300.001189 -1.472551e-04  0.250000  2.996701e-06      NaN
574      Tavg_z0.001_t1       0  inf  1.0   69  300.001211 -3.135686e-04  0.250000  2.421445e-06      NaN
575      Tavg_z0.001_t1       0  inf  1.0   70  300.001163  2.842193e-04  0.615180  1.091955e-06      NaN
576      Tavg_z0.001_t1       0  inf  1.0   71  300.001203 -2.447997e-04  0.250000  1.702584e-06      NaN
577      Tavg_z0.001_t1       0  inf  1.0   72  300.001169 -1.940664e-04  0.480642  8.712764e-07      NaN
578      Tavg_z0.001_t1       0  inf  1.0   73  300.001168 -9.373359e-05  0.450347  2.719043e-07      NaN
579      Tavg_z0.001_t1       0  inf  1.0   74  300.001168 -2.487664e-05  0.250000  1.274882e-06      NaN
580      Tavg_z0.001_t1       0  inf  1.0   75  300.001159  1.045776e-04  0.343262  1.483326e-06      NaN
581      Tavg_z0.001_t1       0  inf  1.0   76  300.001168 -3.103159e-05  0.250000  9.669284e-07      NaN
582      Tavg_z0.001_t1       0  inf  1.0   77  300.001166 -2.757514e-01  1.855103  3.242145e-07      NaN
583      Tavg_z0.001_t1       0  inf  1.0   78  300.001188 -1.366438e-04  0.250000  2.737270e-06      NaN
584      Tavg_z0.001_t1       0  inf  1.0   79  300.001169 -2.976705e-05  0.250000  2.093546e-06      NaN
585      Tavg_z0.001_t1       0  inf  1.0   80  300.001192 -1.736241e-04  0.250000  3.041685e-06      NaN
586      Tavg_z0.001_t1       0  inf  1.0   81  300.001161  3.305877e-05  0.250000  8.080290e-07      NaN
587      Tavg_z0.001_t1       0  inf  1.0   82  300.001165 -1.199379e-03  0.974691  2.183736e-07      NaN
588      Tavg_z0.001_t1       0  inf  1.0   83  300.001152  7.117348e-05  0.250000  8.540888e-07      NaN
589      Tavg_z0.001_t1       0  inf  1.0   84  300.001206 -2.700727e-04  0.250000  2.063028e-06      NaN
590      Tavg_z0.001_t1       0  inf  1.0   85  300.001156  1.811774e-03  0.675450  2.968603e-06      NaN
591      Tavg_z0.001_t1       0  inf  1.0   86  300.001181 -1.284455e-04  0.250000  1.694796e-06      NaN
592      Tavg_z0.001_t1       0  inf  1.0   87  300.001170 -1.659569e-04  0.472569  7.282825e-07      NaN
593      Tavg_z0.001_t1       0  inf  1.0   88  300.001182 -1.288592e-04  0.250000  1.145784e-06      NaN
594      Tavg_z0.001_t1       0  inf  1.0   89  300.001172 -5.825067e-05  0.250000  8.445678e-07      NaN
595      Tavg_z0.001_t1       0  inf  1.0   90  300.001167 -3.188885e-05  0.250000  1.733400e-06      NaN
596      Tavg_z0.001_t1       0  inf  1.0   91  300.001178 -9.189594e-05  0.250000  5.524003e-07      NaN
597      Tavg_z0.001_t1       0  inf  1.0   92  300.001169 -3.353134e-04  0.544491  5.965488e-07      NaN
598      Tavg_z0.001_t1       0  inf  1.0   93  300.001167 -8.995757e-02  2.000000  7.207833e-07      NaN
599      Tavg_z0.001_t1       0  inf  1.0   94  300.001164  3.169113e-01  1.741857  2.455180e-06      NaN
600      Tavg_z0.001_t1       0  inf  1.0   95  300.001165 -1.486423e-03  1.112055  3.632587e-07      NaN
601      Tavg_z0.001_t1       0  inf  1.0   96  300.001166 -1.004455e-01  1.576872  8.092794e-07      NaN
602      Tavg_z0.001_t1       0  inf  1.0   97  300.001175 -7.776943e-05  0.250000  5.748080e-07      NaN
603      Tavg_z0.001_t1       0  inf  1.0   98  300.001183 -1.427865e-04  0.250000  2.129202e-06      NaN
604      Tavg_z0.001_t1       0  inf  1.0   99  300.001130  2.715722e-04  0.250000  4.036618e-06      NaN
605      Tavg_z0.001_t1       0  inf  1.0  100  300.001207 -2.830947e-04  0.250000  2.372423e-06      NaN
606      Tavg_z0.001_t5       0  1.0  0.0    0  300.005423  1.830097e-01  2.000000  4.553469e-06      NaN
607      Tavg_z0.001_t5       0  1.0  0.0    1  300.005422  2.488653e-01  2.000000  5.454971e-06      NaN
608      Tavg_z0.001_t5       0  1.0  0.0    2  300.005423  1.809384e-01  2.000000  5.599209e-06      NaN
609      Tavg_z0.001_t5       0  1.0  0.0    3  300.005423  1.207783e-01  1.916211  6.998903e-06      NaN
610      Tavg_z0.001_t5       0  1.0  0.0    4  300.005424 -2.540123e-01  2.000000  1.514380e-06      NaN
611      Tavg_z0.001_t5       0  1.0  0.0    5  300.005423  2.003047e-01  2.000000  3.287185e-06      NaN
612      Tavg_z0.001_t5       0  1.0  0.0    6  300.005421  1.543476e-05  0.250000  5.465752e-06      NaN
613      Tavg_z0.001_t5       0  1.0  0.0    7  300.005423  1.830091e-01  2.000000  3.189784e-06      NaN
614      Tavg_z0.001_t5       0  1.0  0.0    8  300.005423  1.984411e-01  2.000000  4.602113e-06      NaN
615      Tavg_z0.001_t5       0  1.0  0.0    9  300.005424 -6.034034e-01  2.000000  5.215547e-06      NaN
616      Tavg_z0.001_t5       0  1.0  0.0   10  300.005418  2.596544e-05  0.250000  2.827894e-06      NaN
617      Tavg_z0.001_t5       0  1.0  0.0   11  300.005423  1.830097e-01  2.000000  4.913437e-07      NaN
618      Tavg_z0.001_t5       0  1.0  0.0   12  300.005421 -5.017536e-01  2.000000  7.904194e-06      NaN
619      Tavg_z0.001_t5       0  1.0  0.0   13  300.005422  2.292243e-01  2.000000  4.305968e-06      NaN
620      Tavg_z0.001_t5       0  1.0  0.0   14  300.005423 -2.241625e-01  2.000000  4.066955e-06      NaN
621      Tavg_z0.001_t5       0  1.0  0.0   15  300.005398  1.115887e-04  0.250000  5.330704e-06      NaN
622      Tavg_z0.001_t5       0  1.0  0.0   16  300.005422  9.058016e-03  1.367139  5.433735e-07      NaN
623      Tavg_z0.001_t5       0  1.0  0.0   17  300.005422  6.704118e-03  1.369629  1.885158e-06      NaN
624      Tavg_z0.001_t5       0  1.0  0.0   18  300.005423  1.128805e-01  1.865329  4.035112e-07      NaN
625      Tavg_z0.001_t5       0  1.0  0.0   19  300.005422  3.222208e-03  1.190055  3.143414e-06      NaN
626      Tavg_z0.001_t5       0  1.0  0.0   20  300.005423  1.673360e-02  1.530398  1.860168e-06      NaN
627      Tavg_z0.001_t5       0  1.0  0.0   21  300.005423  1.597240e-01  2.000000  3.096358e-06      NaN
628      Tavg_z0.001_t5       0  1.0  0.0   22  300.005423 -5.738933e-01  2.000000  6.206215e-06      NaN
629      Tavg_z0.001_t5       0  1.0  0.0   23  300.005422  2.269635e-01  2.000000  5.796816e-06      NaN
630      Tavg_z0.001_t5       0  1.0  0.0   24  300.005423  9.951433e-02  1.899414  5.912712e-06      NaN
631      Tavg_z0.001_t5       0  1.0  0.0   25  300.005429 -5.029922e-05  0.250000  9.502577e-06      NaN
632      Tavg_z0.001_t5       0  1.0  0.0   26  300.005432 -8.078129e-05  0.250000  9.504191e-06      NaN
633      Tavg_z0.001_t5       0  1.0  0.0   27  300.005423  2.005090e-01  2.000000  4.447343e-07      NaN
634      Tavg_z0.001_t5       0  1.0  0.0   28  300.005423  2.089244e-01  2.000000  7.353581e-07      NaN
635      Tavg_z0.001_t5       0  1.0  0.0   29  300.005423 -5.738956e-01  2.000000  6.585827e-06      NaN
636      Tavg_z0.001_t5       0  1.0  0.0   30  300.005422  2.029646e-01  2.000000  6.975519e-06      NaN
637      Tavg_z0.001_t5       0  1.0  0.0   31  300.005423  1.661227e-01  2.000000  6.004875e-06      NaN
638      Tavg_z0.001_t5       0  1.0  0.0   32  300.005423  1.852077e-01  2.000000  5.624019e-06      NaN
639      Tavg_z0.001_t5       0  1.0  0.0   33  300.005422  7.848875e-03  1.345996  5.599762e-06      NaN
640      Tavg_z0.001_t5       0  1.0  0.0   34  300.005423  2.061242e-01  2.000000  4.644974e-07      NaN
641      Tavg_z0.001_t5       0  1.0  0.0   35  300.005423  1.654079e-01  2.000000  3.051928e-06      NaN
642      Tavg_z0.001_t5       0  1.0  0.0   36  300.005423  1.830095e-01  2.000000  3.006530e-06      NaN
643      Tavg_z0.001_t5       0  1.0  0.0   37  300.005421  9.923137e-04  0.964746  6.956241e-06      NaN
644      Tavg_z0.001_t5       0  1.0  0.0   38  300.005423  2.008815e-01  2.000000  3.294688e-06      NaN
645      Tavg_z0.001_t5       0  1.0  0.0   39  300.005422  2.053498e-01  2.000000  4.515204e-06      NaN
646      Tavg_z0.001_t5       0  1.0  0.0   40  300.005424 -5.995158e-01  2.000000  3.977096e-06      NaN
647      Tavg_z0.001_t5       0  1.0  0.0   41  300.005422  2.169646e-01  2.000000  7.119174e-06      NaN
648      Tavg_z0.001_t5       0  1.0  0.0   42  300.005424 -5.963736e-01  2.000000  5.189320e-06      NaN
649      Tavg_z0.001_t5       0  1.0  0.0   43  300.005423  2.249265e-01  2.000000  5.911298e-06      NaN
650      Tavg_z0.001_t5       0  1.0  0.0   44  300.005413  5.457535e-05  0.250000  4.375514e-06      NaN
651      Tavg_z0.001_t5       0  1.0  0.0   45  300.005421  9.689819e-04  0.962438  4.202949e-06      NaN
652      Tavg_z0.001_t5       0  1.0  0.0   46  300.005423  2.128671e-01  2.000000  4.438306e-07      NaN
653      Tavg_z0.001_t5       0  1.0  0.0   47  300.005422  2.183853e-01  2.000000  3.176828e-06      NaN
654      Tavg_z0.001_t5       0  1.0  0.0   48  300.005422  2.359385e-03  1.123633  4.428583e-06      NaN
655      Tavg_z0.001_t5       0  1.0  0.0   49  300.005423 -7.914629e-03  1.344796  8.854367e-06      NaN
656      Tavg_z0.001_t5       0  1.0  0.0   50  300.005422  1.317914e-02  1.465710  4.652557e-06      NaN
657      Tavg_z0.001_t5       0  1.0  0.0   51  300.005424 -2.514803e-01  2.000000  4.121067e-06      NaN
658      Tavg_z0.001_t5       0  1.0  0.0   52  300.005422  2.188101e-01  2.000000  9.553156e-06      NaN
659      Tavg_z0.001_t5       0  1.0  0.0   53  300.005423 -2.347368e-01  2.000000  2.384026e-06      NaN
660      Tavg_z0.001_t5       0  1.0  0.0   54  300.005423 -5.711842e-01  2.000000  5.017458e-06      NaN
661      Tavg_z0.001_t5       0  1.0  0.0   55  300.005422  1.213767e-02  1.463289  3.098051e-06      NaN
662      Tavg_z0.001_t5       0  1.0  0.0   56  300.005423 -5.738954e-01  2.000000  6.409388e-06      NaN
663      Tavg_z0.001_t5       0  1.0  0.0   57  300.005423  1.998968e-01  2.000000  3.090692e-06      NaN
664      Tavg_z0.001_t5       0  1.0  0.0   58  300.005423  1.830096e-01  2.000000  4.489400e-06      NaN
665      Tavg_z0.001_t5       0  1.0  0.0   59  300.005423  2.075226e-01  2.000000  5.107004e-07      NaN
666      Tavg_z0.001_t5       0  1.0  0.0   60  300.005423  2.270228e-01  2.000000  5.726591e-06      NaN
667      Tavg_z0.001_t5       0  1.0  0.0   61  300.005395  1.291800e-02  1.164832  7.288277e-06      NaN
668      Tavg_z0.001_t5       0  1.0  0.0   62  300.005423  1.998964e-01  2.000000  1.958095e-06      NaN
669      Tavg_z0.001_t5       0  1.0  0.0   63  300.005428 -6.508223e-04  0.615742  4.117007e-06      NaN
670      Tavg_z0.001_t5       0  1.0  0.0   64  300.005423  4.252228e-02  1.696940  4.329288e-06      NaN
671      Tavg_z0.001_t5       0  1.0  0.0   65  300.005423  7.714311e-02  1.791009  1.802526e-06      NaN
672      Tavg_z0.001_t5       0  1.0  0.0   66  300.005423 -5.711890e-01  2.000000  6.444954e-06      NaN
673      Tavg_z0.001_t5       0  1.0  0.0   67  300.005423  1.850896e-01  2.000000  6.936719e-06      NaN
674      Tavg_z0.001_t5       0  1.0  0.0   68  300.005426 -1.282852e-03  0.781516  4.885131e-06      NaN
675      Tavg_z0.001_t5       0  1.0  0.0   69  300.005422  2.045120e-01  2.000000  4.514412e-06      NaN
676      Tavg_z0.001_t5       0  1.0  0.0   70  300.005422  2.062948e-01  2.000000  8.261996e-06      NaN
677      Tavg_z0.001_t5       0  1.0  0.0   71  300.005422  1.456354e-03  1.047852  5.682522e-06      NaN
678      Tavg_z0.001_t5       0  1.0  0.0   72  300.005423  2.068957e-01  2.000000  3.157169e-06      NaN
679      Tavg_z0.001_t5       0  1.0  0.0   73  300.005422  2.865686e-02  1.580509  5.692317e-06      NaN
680      Tavg_z0.001_t5       0  1.0  0.0   74  300.005424  1.830099e-01  2.000000  1.827831e-06      NaN
681      Tavg_z0.001_t5       0  1.0  0.0   75  300.005424 -5.995162e-01  2.000000  6.385778e-06      NaN
682      Tavg_z0.001_t5       0  1.0  0.0   76  300.005423  1.830096e-01  2.000000  2.901688e-06      NaN
683      Tavg_z0.001_t5       0  1.0  0.0   77  300.005421  6.903172e-04  0.877523  4.625504e-06      NaN
684      Tavg_z0.001_t5       0  1.0  0.0   78  300.005423  1.611130e-01  2.000000  4.645475e-06      NaN
685      Tavg_z0.001_t5       0  1.0  0.0   79  300.005423 -5.755813e-01  2.000000  9.982733e-06      NaN
686      Tavg_z0.001_t5       0  1.0  0.0   80  300.005423  2.270227e-01  2.000000  3.160888e-06      NaN
687      Tavg_z0.001_t5       0  1.0  0.0   81  300.005423  1.830023e-01  2.000000  4.457818e-06      NaN
688      Tavg_z0.001_t5       0  1.0  0.0   82  300.005424 -6.012003e-01  2.000000  5.349538e-06      NaN
689      Tavg_z0.001_t5       0  1.0  0.0   83  300.005389  1.493244e-04  0.250000  7.450967e-06      NaN
690      Tavg_z0.001_t5       0  1.0  0.0   84  300.005423  1.830096e-01  2.000000  7.003843e-06      NaN
691      Tavg_z0.001_t5       0  1.0  0.0   85  300.005419  1.714428e-04  0.545926  8.148602e-06      NaN
692      Tavg_z0.001_t5       0  1.0  0.0   86  300.005423  2.006068e-01  2.000000  7.414616e-07      NaN
693      Tavg_z0.001_t5       0  1.0  0.0   87  300.005421  2.506980e-01  2.000000  8.338791e-06      NaN
694      Tavg_z0.001_t5       0  1.0  0.0   88  300.005423  1.808083e-01  2.000000  8.456132e-06      NaN
695      Tavg_z0.001_t5       0  1.0  0.0   89  300.005423  1.844551e-01  2.000000  5.723928e-06      NaN
696      Tavg_z0.001_t5       0  1.0  0.0   90  300.005423  1.857162e-01  2.000000  2.035484e-06      NaN
697      Tavg_z0.001_t5       0  1.0  0.0   91  300.005423  1.523527e-01  1.966309  2.488399e-07      NaN
698      Tavg_z0.001_t5       0  1.0  0.0   92  300.005423  1.830097e-01  2.000000  5.346289e-07      NaN
699      Tavg_z0.001_t5       0  1.0  0.0   93  300.005375  1.952641e-04  0.250000  9.243675e-06      NaN
700      Tavg_z0.001_t5       0  1.0  0.0   94  300.005424  1.425995e-01  2.000000  3.099552e-06      NaN
701      Tavg_z0.001_t5       0  1.0  0.0   95  300.005423  7.354249e-02  1.842407  5.674540e-06      NaN
702      Tavg_z0.001_t5       0  1.0  0.0   96  300.005422  2.277427e-01  2.000000  1.948463e-06      NaN
703      Tavg_z0.001_t5       0  1.0  0.0   97  300.005423  1.830093e-01  2.000000  3.006531e-06      NaN
704      Tavg_z0.001_t5       0  1.0  0.0   98  300.005422  2.299979e-01  2.000000  8.209186e-06      NaN
705      Tavg_z0.001_t5       0  1.0  0.0   99  300.005423  1.998964e-01  2.000000  3.053918e-06      NaN
706      Tavg_z0.001_t5       0  1.0  0.0  100  300.005423  1.809418e-01  2.000000  4.401990e-06      NaN
707      Tavg_z0.001_t5       0  1.0  1.0    0  300.005417  3.560937e-05  0.250000  1.264152e-06      NaN
708      Tavg_z0.001_t5       0  1.0  1.0    1  300.005417  3.595667e-05  0.250000  8.908914e-07      NaN
709      Tavg_z0.001_t5       0  1.0  1.0    2  300.005420  4.715826e-05  0.363965  1.409263e-07      NaN
710      Tavg_z0.001_t5       0  1.0  1.0    3  300.005417  4.084842e-05  0.250000  6.978990e-06      NaN
711      Tavg_z0.001_t5       0  1.0  1.0    4  300.005416  4.638988e-05  0.250000  1.450944e-06      NaN
712      Tavg_z0.001_t5       0  1.0  1.0    5  300.005415  5.033811e-05  0.250000  5.400356e-06      NaN
713      Tavg_z0.001_t5       0  1.0  1.0    6  300.005424 -4.129097e-02  1.454297  3.685019e-06      NaN
714      Tavg_z0.001_t5       0  1.0  1.0    7  300.005413  5.939022e-05  0.250000  1.207667e-06      NaN
715      Tavg_z0.001_t5       0  1.0  1.0    8  300.005422  9.945811e-04  0.965649  5.977478e-06      NaN
716      Tavg_z0.001_t5       0  1.0  1.0    9  300.005412  6.506056e-05  0.250000  9.282828e-06      NaN
717      Tavg_z0.001_t5       0  1.0  1.0   10  300.005421  1.429516e-02  1.440047  8.914323e-06      NaN
718      Tavg_z0.001_t5       0  1.0  1.0   11  300.005418  3.028031e-05  0.250000  3.279478e-06      NaN
719      Tavg_z0.001_t5       0  1.0  1.0   12  300.005417  3.589407e-05  0.250000  6.302524e-06      NaN
720      Tavg_z0.001_t5       0  1.0  1.0   13  300.005424 -1.032971e-05  0.250000  6.082124e-06      NaN
721      Tavg_z0.001_t5       0  1.0  1.0   14  300.005416  4.281092e-05  0.250000  6.710894e-06      NaN
722      Tavg_z0.001_t5       0  1.0  1.0   15  300.005355  3.005309e-04  0.250000  8.529391e-06      NaN
723      Tavg_z0.001_t5       0  1.0  1.0   16  300.005374  2.580621e-04  0.250000  6.967808e-06      NaN
724      Tavg_z0.001_t5       0  1.0  1.0   17  300.005423  9.175801e-04  1.000528  1.261217e-06      NaN
725      Tavg_z0.001_t5       0  1.0  1.0   18  300.005418  4.224572e-05  0.298145  2.002363e-06      NaN
726      Tavg_z0.001_t5       0  1.0  1.0   19  300.005422 -6.317152e-01  2.000000  6.235992e-06      NaN
727      Tavg_z0.001_t5       0  1.0  1.0   20  300.005418  3.339755e-05  0.250000  2.329045e-06      NaN
728      Tavg_z0.001_t5       0  1.0  1.0   21  300.005418  3.711838e-05  0.250000  1.192268e-06      NaN
729      Tavg_z0.001_t5       0  1.0  1.0   22  300.005417  3.560943e-05  0.250000  3.477115e-06      NaN
730      Tavg_z0.001_t5       0  1.0  1.0   23  300.005426 -1.534534e-05  0.250000  3.066760e-06      NaN
731      Tavg_z0.001_t5       0  1.0  1.0   24  300.005417  3.641268e-05  0.250000  1.177114e-06      NaN
732      Tavg_z0.001_t5       0  1.0  1.0   25  300.005417  3.988611e-05  0.250000  7.407618e-07      NaN
733      Tavg_z0.001_t5       0  1.0  1.0   26  300.005415  5.343293e-05  0.250000  6.039857e-07      NaN
734      Tavg_z0.001_t5       0  1.0  1.0   27  300.005417  3.560935e-05  0.250000  1.500790e-07      NaN
735      Tavg_z0.001_t5       0  1.0  1.0   28  300.005416  5.134598e-05  0.250000  9.271989e-07      NaN
736      Tavg_z0.001_t5       0  1.0  1.0   29  300.005410  7.181298e-05  0.250000  9.467416e-06      NaN
737      Tavg_z0.001_t5       0  1.0  1.0   30  300.005411  6.711128e-05  0.250000  9.960126e-06      NaN
738      Tavg_z0.001_t5       0  1.0  1.0   31  300.005423  3.207405e-04  0.818766  7.482602e-06      NaN
739      Tavg_z0.001_t5       0  1.0  1.0   32  300.005421  9.534957e-05  0.530816  2.980595e-07      NaN
740      Tavg_z0.001_t5       0  1.0  1.0   33  300.005422  1.888124e-04  0.667887  4.587319e-06      NaN
741      Tavg_z0.001_t5       0  1.0  1.0   34  300.005417  3.560938e-05  0.250000  4.467786e-07      NaN
742      Tavg_z0.001_t5       0  1.0  1.0   35  300.005419  5.034557e-04  0.736656  2.816675e-06      NaN
743      Tavg_z0.001_t5       0  1.0  1.0   36  300.005353  3.373122e-04  0.250000  1.010419e-05      NaN
744      Tavg_z0.001_t5       0  1.0  1.0   37  300.005417  3.850684e-05  0.250000  1.078357e-06      NaN
745      Tavg_z0.001_t5       0  1.0  1.0   38  300.005417  3.997720e-05  0.250000  7.443317e-06      NaN
746      Tavg_z0.001_t5       0  1.0  1.0   39  300.005418  3.711840e-05  0.250000  2.504129e-06      NaN
747      Tavg_z0.001_t5       0  1.0  1.0   40  300.005437 -1.197057e-04  0.250000  4.399809e-06      NaN
748      Tavg_z0.001_t5       0  1.0  1.0   41  300.005421  2.453248e-04  0.661724  8.592403e-06      NaN
749      Tavg_z0.001_t5       0  1.0  1.0   42  300.005417  3.820387e-05  0.250000  9.313158e-06      NaN
750      Tavg_z0.001_t5       0  1.0  1.0   43  300.005422  9.152062e-03  1.400134  1.508419e-06      NaN
751      Tavg_z0.001_t5       0  1.0  1.0   44  300.005419  4.502117e-05  0.312988  2.268289e-06      NaN
752      Tavg_z0.001_t5       0  1.0  1.0   45  300.005421  6.889740e-05  0.460938  5.442745e-06      NaN
753      Tavg_z0.001_t5       0  1.0  1.0   46  300.005420  7.086970e-05  0.429427  1.072830e-06      NaN
754      Tavg_z0.001_t5       0  1.0  1.0   47  300.005423  4.836761e-02  1.820102  4.268473e-06      NaN
755      Tavg_z0.001_t5       0  1.0  1.0   48  300.005417  3.612405e-05  0.253516  1.876666e-06      NaN
756      Tavg_z0.001_t5       0  1.0  1.0   49  300.005418  3.668832e-05  0.250000  2.159532e-06      NaN
757      Tavg_z0.001_t5       0  1.0  1.0   50  300.005418  3.560937e-05  0.250000  1.087021e-06      NaN
758      Tavg_z0.001_t5       0  1.0  1.0   51  300.005417  3.560934e-05  0.250000  7.189765e-07      NaN
759      Tavg_z0.001_t5       0  1.0  1.0   52  300.005420  8.322804e-05  0.463194  3.090933e-06      NaN
760      Tavg_z0.001_t5       0  1.0  1.0   53  300.005417  3.618392e-05  0.250000  5.081498e-07      NaN
761      Tavg_z0.001_t5       0  1.0  1.0   54  300.005417  3.641283e-05  0.250000  8.892963e-07      NaN
762      Tavg_z0.001_t5       0  1.0  1.0   55  300.005420  1.488085e-01  2.000000  6.605066e-06      NaN
763      Tavg_z0.001_t5       0  1.0  1.0   56  300.005422  3.099868e-04  0.748947  4.723185e-06      NaN
764      Tavg_z0.001_t5       0  1.0  1.0   57  300.005423 -2.684918e-01  1.961035  2.435699e-06      NaN
765      Tavg_z0.001_t5       0  1.0  1.0   58  300.005421  6.760503e-05  0.452257  1.816407e-07      NaN
766      Tavg_z0.001_t5       0  1.0  1.0   59  300.005417  3.560943e-05  0.250000  6.570920e-07      NaN
767      Tavg_z0.001_t5       0  1.0  1.0   60  300.005412  6.109494e-05  0.250000  7.214853e-06      NaN
768      Tavg_z0.001_t5       0  1.0  1.0   61  300.005351  3.728671e-04  0.250000  9.404754e-06      NaN
769      Tavg_z0.001_t5       0  1.0  1.0   62  300.005418  3.872572e-05  0.277148  8.793299e-06      NaN
770      Tavg_z0.001_t5       0  1.0  1.0   63  300.005423  6.597807e-04  1.112539  7.383587e-07      NaN
771      Tavg_z0.001_t5       0  1.0  1.0   64  300.005420  6.217884e-05  0.407292  1.097083e-06      NaN
772      Tavg_z0.001_t5       0  1.0  1.0   65  300.005417  3.862472e-05  0.250000  5.278814e-06      NaN
773      Tavg_z0.001_t5       0  1.0  1.0   66  300.005428 -3.130086e-05  0.250000  1.426459e-06      NaN
774      Tavg_z0.001_t5       0  1.0  1.0   67  300.005417  3.560940e-05  0.250000  1.148838e-06      NaN
775      Tavg_z0.001_t5       0  1.0  1.0   68  300.005421  7.821793e-05  0.454861  3.250425e-07      NaN
776      Tavg_z0.001_t5       0  1.0  1.0   69  300.005390  1.368558e-04  0.250000  7.140344e-06      NaN
777      Tavg_z0.001_t5       0  1.0  1.0   70  300.005421  2.464415e-05  0.334570  4.220208e-06      NaN
778      Tavg_z0.001_t5       0  1.0  1.0   71  300.005422  1.386341e-01  2.000000  3.390434e-06      NaN
779      Tavg_z0.001_t5       0  1.0  1.0   72  300.005418  4.141699e-05  0.296973  4.700864e-06      NaN
780      Tavg_z0.001_t5       0  1.0  1.0   73  300.005367  2.899758e-04  0.250000  7.938481e-06      NaN
781      Tavg_z0.001_t5       0  1.0  1.0   74  300.005423  4.186258e-04  0.844727  6.351894e-07      NaN
782      Tavg_z0.001_t5       0  1.0  1.0   75  300.005417  3.604532e-05  0.250000  6.486849e-06      NaN
783      Tavg_z0.001_t5       0  1.0  1.0   76  300.005417  4.119575e-05  0.250000  9.477512e-07      NaN
784      Tavg_z0.001_t5       0  1.0  1.0   77  300.005432 -8.078154e-05  0.250000  4.409798e-06      NaN
785      Tavg_z0.001_t5       0  1.0  1.0   78  300.005423  8.871870e-03  1.430916  2.133056e-06      NaN
786      Tavg_z0.001_t5       0  1.0  1.0   79  300.005418  3.672130e-05  0.262695  2.773811e-07      NaN
787      Tavg_z0.001_t5       0  1.0  1.0   80  300.005436 -1.085889e-04  0.250000  1.049337e-05      NaN
788      Tavg_z0.001_t5       0  1.0  1.0   81  300.005418  9.543177e-05  0.457031  9.724015e-07      NaN
789      Tavg_z0.001_t5       0  1.0  1.0   82  300.005423  1.135248e-01  2.000000  4.074280e-06      NaN
790      Tavg_z0.001_t5       0  1.0  1.0   83  300.005417  3.843968e-05  0.250000  9.119210e-06      NaN
791      Tavg_z0.001_t5       0  1.0  1.0   84  300.005417  3.741212e-05  0.250000  7.688797e-06      NaN
792      Tavg_z0.001_t5       0  1.0  1.0   85  300.005419  4.148154e-05  0.313715  9.834097e-07      NaN
793      Tavg_z0.001_t5       0  1.0  1.0   86  300.005381  2.070446e-04  0.250000  8.782487e-06      NaN
