Representative Length,Representative Time,Error
0.37151132884054,0.004,0.0018339439093458848
0.2871904662373521,0.0035,0.0014042669665294814
0.2284083647999824,0.0025,0.0010258697490414916
0.1841001150019505,0.002,0.0005597563126923878
0.1441889777089367,0.0016,0.0003373384916828599
0.1137064567172223,0.0014,0.00019068086814489092
0.0909313534093646,0.001,0.00010000052950557833
