,QOI,subset,p,s,b,beta0,beta1,gamma1,objective,p-value
54,Temperature,0,1.0,0.0,54,307.24354580050203,34267.42779314419,2.0,6.552821136759793e-15,
55,Temperature,0,1.0,0.0,55,307.24191601767296,21815.342435669056,1.9176757812499998,0.0006571480760590332,
56,Temperature,0,1.0,0.0,56,307.24221529487323,24655.41552449514,1.9376953125,0.0049587682341902415,
57,Temperature,0,1.0,0.0,57,307.2501553860635,35238.74667252616,2.0,0.004553235333931845,
58,Temperature,0,1.0,0.0,58,307.25039793244156,34267.43517938706,2.0,0.005537726293291142,
59,Temperature,0,1.0,0.0,59,307.25039828782775,34267.41340727294,2.0,0.0038247186306153438,
60,Temperature,0,1.0,0.0,60,307.26593949070923,33296.07930467216,2.0,0.0030961733069982426,
61,Temperature,0,1.0,0.0,61,307.26569658417134,34267.42979371938,2.0,0.0038246531465065473,
62,Temperature,0,1.0,0.0,62,307.2505067439046,33832.364960698564,2.0,0.0052114409487604395,
63,Temperature,0,1.0,0.0,63,307.2460416114849,11311.668331095203,1.800089518229167,0.0022296006942002225,
64,Temperature,0,1.0,0.0,64,307.2460414543003,11311.671806252989,1.800089518229167,0.0022296104274632743,
65,Temperature,0,1.0,0.0,65,307.2428375962626,32220.177533835304,1.9814453125000002,0.0013010615180376757,
66,Temperature,0,1.0,0.0,66,307.2503977545307,34267.44914262782,2.0,0.0017130555606367018,
67,Temperature,0,1.0,0.0,67,307.2501384273321,30288.02329860577,1.9798339843750001,0.0017855145198282445,
68,Temperature,0,1.0,0.0,68,307.25015509314363,35238.772647996186,2.0,0.006266224203721418,
69,Temperature,0,1.0,0.0,69,307.2503982849254,34267.404422494794,2.0,0.0038247105855604454,
70,Temperature,0,1.0,0.0,70,307.2656964899079,34267.43699904166,2.0,0.005537737102026705,
71,Temperature,0,1.0,0.0,71,307.2503978629405,34267.42989933577,2.0,0.0017130505676480412,
72,Temperature,0,1.0,0.0,72,307.26480510323915,22828.034692747435,1.93359375,0.004064735842564229,
73,Temperature,0,1.0,0.0,73,307.2430889943419,34724.23517319073,2.0,0.005965966589723122,
74,Temperature,0,1.0,0.0,74,307.26569658417134,34267.42979371938,2.0,0.0038246531465065473,
75,Temperature,0,1.0,0.0,75,307.2378457360184,9618.371040246446,1.7657945421006942,0.0021338677874428737,
76,Temperature,0,1.0,0.0,76,307.25015538605146,35238.74667274206,2.0,0.004553193254519164,
77,Temperature,0,1.0,0.0,77,307.24206931016863,35744.1284809253,2.0,0.006922194832066036,
78,Temperature,0,1.0,0.0,78,307.26509637682784,25939.0974269733,1.9544921874999999,0.00398844502396587,
79,Temperature,0,1.0,0.0,79,307.25050674092023,33832.36806095698,2.0,0.0013867949750648821,
80,Temperature,0,1.0,0.0,80,307.2435459198172,34267.41974226142,2.0,0.001713055250058227,
81,Temperature,0,1.0,0.0,81,307.2503980378556,34267.429170326104,2.0,6.217322919831396e-08,
82,Temperature,0,1.0,0.0,82,307.2378599476545,9622.81103758897,1.7658827039930554,0.0034049044282851246,
83,Temperature,0,1.0,0.0,83,307.25039782560896,34267.435102101364,2.0,0.0017130949639076437,
84,Temperature,0,1.0,0.0,84,307.24221625518925,24662.02316531287,1.937744140625,0.0005795981817318579,
85,Temperature,0,1.0,0.0,85,307.252682168658,33696.404650799814,2.0,0.003717614631494,
86,Temperature,0,1.0,0.0,86,307.2422152981775,24655.407936434818,1.9376953125,0.00495871787124956,
87,Temperature,0,1.0,0.0,87,307.2374016130346,8493.06178961538,1.745340983072916,0.0022277971073420473,
88,Temperature,0,1.0,0.0,88,307.2659394880389,33296.08999123218,2.0,0.003096139243588171,
89,Temperature,0,1.0,0.0,89,307.2460408586103,11311.685034907467,1.800089518229167,0.0015952460750999827,
90,Temperature,0,1.0,0.0,90,307.25039833886325,34267.399626987484,2.0,0.0038247153089436955,
91,Temperature,0,1.0,0.0,91,307.26509637682744,25939.097426999888,1.9544921874999999,0.003988487102740443,
92,Temperature,0,1.0,0.0,92,307.24937801352104,35287.34125655688,2.0,0.0009561294757797614,
93,Temperature,0,1.0,0.0,93,307.2503980836821,34267.42728273197,2.0,0.0038247218760034583,
94,Temperature,0,1.0,0.0,94,307.24343693234835,34702.47435143312,2.0,0.005864079698609284,
95,Temperature,0,1.0,0.0,95,307.24191601767296,21815.342435669056,1.9176757812499998,0.0006571480760590332,
96,Temperature,0,1.0,0.0,96,307.2503979673447,34267.434498452414,2.0,6.278427268248024e-08,
97,Temperature,0,1.0,0.0,97,307.25013436525813,30280.078990502563,1.9797851562500002,7.259707993202324e-05,
98,Temperature,0,1.0,0.0,98,307.2430889943419,34724.23517319073,2.0,0.005965966589723122,
99,Temperature,0,1.0,0.0,99,307.25039833886325,34267.399626987484,2.0,0.0038247153089436955,
100,Temperature,0,1.0,0.0,100,307.2464388994475,12826.320319234312,1.8207194010416667,0.0023183508936980013,
101,Temperature,0,1.0,1.0,0,307.26593935005076,33296.04049437136,2.0,0.006353209111337335,
102,Temperature,0,1.0,1.0,1,307.2511380153074,34221.17819383152,2.0,0.0016977233303542183,
103,Temperature,0,1.0,1.0,2,307.2653726361514,25353.72099151453,1.9554687499999999,0.005101985014330931,
104,Temperature,0,1.0,1.0,3,307.24838300483606,16608.852407948947,1.8681640624999998,0.0023861322446470895,
105,Temperature,0,1.0,1.0,4,307.26520766129244,23516.112770796735,1.9431640625000006,0.004098047323563838,
106,Temperature,0,1.0,1.0,5,307.24838058085993,16599.609482150536,1.868062337239583,0.002549969079949332,
107,Temperature,0,1.0,1.0,6,307.26537187485064,25353.759621231748,1.9554687499999999,0.00016614280626752763,
108,Temperature,0,1.0,1.0,7,307.2473688396001,33545.95723319571,2.0,0.0011252372666522654,
109,Temperature,0,1.0,1.0,8,307.2659396164703,33296.05072997704,2.0,2.942876468395277e-07,
110,Temperature,0,1.0,1.0,9,307.26593936582884,33296.08792414426,2.0,0.003885436495483691,
111,Temperature,0,1.0,1.0,10,307.26623395376004,32120.835610882667,2.0,0.005005810159647244,
112,Temperature,0,1.0,1.0,11,307.2662331174627,32120.87752105534,2.0,0.0055305918681634696,
113,Temperature,0,1.0,1.0,12,307.26617177219265,32370.90238622137,2.0,0.001665139357353399,
114,Temperature,0,1.0,1.0,13,307.2435307535689,13951.806250029353,1.8350016276041665,0.003225591095800266,
115,Temperature,0,1.0,1.0,14,307.2424518242306,9918.78866351158,1.7789876302083334,0.0029691704235498897,
116,Temperature,0,1.0,1.0,15,307.24837844963537,16591.599195202216,1.867974175347222,0.0025498363968217115,
117,Temperature,0,1.0,1.0,16,307.2476077043411,12693.385566733928,1.8240695529513888,0.002356549613674768,
118,Temperature,0,1.0,1.0,17,307.2474313735506,33296.04052882635,2.0,0.0010501329035265139,
119,Temperature,0,1.0,1.0,18,307.26520857222647,23516.057361366504,1.9431640625000006,0.00021274475000834252,
120,Temperature,0,1.0,1.0,19,307.2653726361514,25353.72099151453,1.9554687499999999,0.005101985014330931,
121,Temperature,0,1.0,1.0,20,307.2473838560338,11786.538896312308,1.8119032118055554,0.002302900873656565,
122,Temperature,0,1.0,1.0,21,307.2435347456963,13963.632348834482,1.83515625,0.0017104825736455893,
123,Temperature,0,1.0,1.0,22,307.24838058086067,16599.60948177555,1.868062337239583,0.002549754256889068,
124,Temperature,0,1.0,1.0,23,307.24353530353255,13965.308887531874,1.8351779513888888,0.0006603825498364693,
125,Temperature,0,1.0,1.0,24,307.2662331174627,32120.87752105534,2.0,0.0055305918681634696,
126,Temperature,0,1.0,1.0,25,307.24668260373096,27351.283347971777,1.96279296875,0.00035331586596856957,
127,Temperature,0,1.0,1.0,26,307.25113804602563,34221.10249391439,2.0,0.004688205044982838,
128,Temperature,0,1.0,1.0,27,307.26617058546327,32370.91240734571,2.0,0.00623067560456141,
129,Temperature,0,1.0,1.0,28,307.26594025241724,33295.99730977782,2.0,0.0038856295058160477,
130,Temperature,0,1.0,1.0,29,307.24353532052004,13965.288507587595,1.8351779513888888,0.0006602919879120164,
131,Temperature,0,1.0,1.0,30,307.2653718636324,25353.753334445406,1.9554687499999999,0.00016601955834307064,
132,Temperature,0,1.0,1.0,31,307.2653718105345,25353.759342716494,1.9554687499999999,0.005101755233168061,
133,Temperature,0,1.0,1.0,32,307.26537261570354,25353.713137227776,1.9554687499999999,0.005101877849944252,
134,Temperature,0,1.0,1.0,33,307.26520857226984,23516.057345877365,1.9431640625000006,0.00021252989798010237,
135,Temperature,0,1.0,1.0,34,307.25122295624124,30971.080791726545,1.98818359375,4.4335178613819334e-05,
136,Temperature,0,1.0,1.0,35,307.251138033237,34221.153644163634,2.0,0.004688220387876474,
137,Temperature,0,1.0,1.0,36,307.26520766129244,23516.112770796735,1.9431640625000006,0.004098047323563838,
138,Temperature,0,1.0,1.0,37,307.2652084819233,23516.078077219645,1.9431640625000006,0.004098279957881984,
139,Temperature,0,1.0,1.0,38,307.2476077043193,12693.38587019153,1.8240695529513888,0.002356656527515363,
140,Temperature,0,1.0,1.0,39,307.2659393960564,33296.06683411422,2.0,0.0049356533827775995,
141,Temperature,0,1.0,1.0,40,307.26594016783116,33295.98805437968,2.0,2.922180716429849e-07,
142,Temperature,0,1.0,1.0,41,307.2653726361514,25353.72099151453,1.9554687499999999,0.005101985014330931,
