             QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
67   Temperature       0  1.0  0.0   67  307.250138  30288.023299  1.979834  1.785515e-03      NaN
68   Temperature       0  1.0  0.0   68  307.250155  35238.772648  2.000000  6.266224e-03      NaN
69   Temperature       0  1.0  0.0   69  307.250398  34267.404422  2.000000  3.824711e-03      NaN
70   Temperature       0  1.0  0.0   70  307.265696  34267.436999  2.000000  5.537737e-03      NaN
71   Temperature       0  1.0  0.0   71  307.250398  34267.429899  2.000000  1.713051e-03      NaN
72   Temperature       0  1.0  0.0   72  307.264805  22828.034693  1.933594  4.064736e-03      NaN
73   Temperature       0  1.0  0.0   73  307.243089  34724.235173  2.000000  5.965967e-03      NaN
74   Temperature       0  1.0  0.0   74  307.265697  34267.429794  2.000000  3.824653e-03      NaN
75   Temperature       0  1.0  0.0   75  307.237846   9618.371040  1.765795  2.133868e-03      NaN
76   Temperature       0  1.0  0.0   76  307.250155  35238.746673  2.000000  4.553193e-03      NaN
77   Temperature       0  1.0  0.0   77  307.242069  35744.128481  2.000000  6.922195e-03      NaN
78   Temperature       0  1.0  0.0   78  307.265096  25939.097427  1.954492  3.988445e-03      NaN
79   Temperature       0  1.0  0.0   79  307.250507  33832.368061  2.000000  1.386795e-03      NaN
80   Temperature       0  1.0  0.0   80  307.243546  34267.419742  2.000000  1.713055e-03      NaN
81   Temperature       0  1.0  0.0   81  307.250398  34267.429170  2.000000  6.217323e-08      NaN
82   Temperature       0  1.0  0.0   82  307.237860   9622.811038  1.765883  3.404904e-03      NaN
83   Temperature       0  1.0  0.0   83  307.250398  34267.435102  2.000000  1.713095e-03      NaN
84   Temperature       0  1.0  0.0   84  307.242216  24662.023165  1.937744  5.795982e-04      NaN
85   Temperature       0  1.0  0.0   85  307.252682  33696.404651  2.000000  3.717615e-03      NaN
86   Temperature       0  1.0  0.0   86  307.242215  24655.407936  1.937695  4.958718e-03      NaN
87   Temperature       0  1.0  0.0   87  307.237402   8493.061790  1.745341  2.227797e-03      NaN
88   Temperature       0  1.0  0.0   88  307.265939  33296.089991  2.000000  3.096139e-03      NaN
89   Temperature       0  1.0  0.0   89  307.246041  11311.685035  1.800090  1.595246e-03      NaN
90   Temperature       0  1.0  0.0   90  307.250398  34267.399627  2.000000  3.824715e-03      NaN
91   Temperature       0  1.0  0.0   91  307.265096  25939.097427  1.954492  3.988487e-03      NaN
92   Temperature       0  1.0  0.0   92  307.249378  35287.341257  2.000000  9.561295e-04      NaN
93   Temperature       0  1.0  0.0   93  307.250398  34267.427283  2.000000  3.824722e-03      NaN
94   Temperature       0  1.0  0.0   94  307.243437  34702.474351  2.000000  5.864080e-03      NaN
95   Temperature       0  1.0  0.0   95  307.241916  21815.342436  1.917676  6.571481e-04      NaN
96   Temperature       0  1.0  0.0   96  307.250398  34267.434498  2.000000  6.278427e-08      NaN
97   Temperature       0  1.0  0.0   97  307.250134  30280.078991  1.979785  7.259708e-05      NaN
98   Temperature       0  1.0  0.0   98  307.243089  34724.235173  2.000000  5.965967e-03      NaN
99   Temperature       0  1.0  0.0   99  307.250398  34267.399627  2.000000  3.824715e-03      NaN
100  Temperature       0  1.0  0.0  100  307.246439  12826.320319  1.820719  2.318351e-03      NaN
101  Temperature       0  1.0  1.0    0  307.265939  33296.040494  2.000000  6.353209e-03      NaN
102  Temperature       0  1.0  1.0    1  307.251138  34221.178194  2.000000  1.697723e-03      NaN
103  Temperature       0  1.0  1.0    2  307.265373  25353.720992  1.955469  5.101985e-03      NaN
104  Temperature       0  1.0  1.0    3  307.248383  16608.852408  1.868164  2.386132e-03      NaN
105  Temperature       0  1.0  1.0    4  307.265208  23516.112771  1.943164  4.098047e-03      NaN
106  Temperature       0  1.0  1.0    5  307.248381  16599.609482  1.868062  2.549969e-03      NaN
107  Temperature       0  1.0  1.0    6  307.265372  25353.759621  1.955469  1.661428e-04      NaN
108  Temperature       0  1.0  1.0    7  307.247369  33545.957233  2.000000  1.125237e-03      NaN
109  Temperature       0  1.0  1.0    8  307.265940  33296.050730  2.000000  2.942876e-07      NaN
110  Temperature       0  1.0  1.0    9  307.265939  33296.087924  2.000000  3.885436e-03      NaN
111  Temperature       0  1.0  1.0   10  307.266234  32120.835611  2.000000  5.005810e-03      NaN
112  Temperature       0  1.0  1.0   11  307.266233  32120.877521  2.000000  5.530592e-03      NaN
113  Temperature       0  1.0  1.0   12  307.266172  32370.902386  2.000000  1.665139e-03      NaN
114  Temperature       0  1.0  1.0   13  307.243531  13951.806250  1.835002  3.225591e-03      NaN
115  Temperature       0  1.0  1.0   14  307.242452   9918.788664  1.778988  2.969170e-03      NaN
116  Temperature       0  1.0  1.0   15  307.248378  16591.599195  1.867974  2.549836e-03      NaN
117  Temperature       0  1.0  1.0   16  307.247608  12693.385567  1.824070  2.356550e-03      NaN
118  Temperature       0  1.0  1.0   17  307.247431  33296.040529  2.000000  1.050133e-03      NaN
119  Temperature       0  1.0  1.0   18  307.265209  23516.057361  1.943164  2.127448e-04      NaN
120  Temperature       0  1.0  1.0   19  307.265373  25353.720992  1.955469  5.101985e-03      NaN
121  Temperature       0  1.0  1.0   20  307.247384  11786.538896  1.811903  2.302901e-03      NaN
122  Temperature       0  1.0  1.0   21  307.243535  13963.632349  1.835156  1.710483e-03      NaN
123  Temperature       0  1.0  1.0   22  307.248381  16599.609482  1.868062  2.549754e-03      NaN
124  Temperature       0  1.0  1.0   23  307.243535  13965.308888  1.835178  6.603825e-04      NaN
125  Temperature       0  1.0  1.0   24  307.266233  32120.877521  2.000000  5.530592e-03      NaN
126  Temperature       0  1.0  1.0   25  307.246683  27351.283348  1.962793  3.533159e-04      NaN
127  Temperature       0  1.0  1.0   26  307.251138  34221.102494  2.000000  4.688205e-03      NaN
128  Temperature       0  1.0  1.0   27  307.266171  32370.912407  2.000000  6.230676e-03      NaN
129  Temperature       0  1.0  1.0   28  307.265940  33295.997310  2.000000  3.885630e-03      NaN
