,QOI,subset,parameter,median,mean,lower bound,upper bound,p-value,MAD,boot sd
0,Temperature,0,beta0,307.2529104619255,307.2559724408955,307.2378346329438,307.2870651282743,,0.007267379369125138,0.01225317899978595
1,Temperature,0,beta1,29326.95353589316,25071.497549270254,1316.0329278619324,34724.23474425838,,4738.233690573274,10058.833363065689
2,Temperature,0,gamma1,2.0,1.919406529179326,1.4312725830078126,2.0,,0.0,0.14245977023811238
