QOI,X1,X2,Temperature
subset,,,0
0,0.0909313534093646,0.001,True
1,0.11370645671722239,0.0014,True
2,0.14418897770893674,0.0016,True
3,0.1841001150019505,0.002,True
4,0.22840836479998242,0.0025,True
5,0.2871904662373521,0.0035,True
6,0.37151132884054006,0.004,True
