,QOI,subset,parameter,median,mean,lower bound,upper bound,p-value,MAD,boot sd
0,Temperature,0,beta0,305.79167590043136,305.85807407064874,305.31267816549706,306.9476608357327,,0.0108817294767789,0.41951745794963413
1,Temperature,0,beta1,80.01551641317111,90.6297640871513,-9.136315207779525,232.34785366382783,,48.68744199311201,104.31274786686794
2,Temperature,0,beta2,671.0495039188295,2037.085638711839,-5047.0319487579745,13199.453808832204,,691.3308067807977,12016.22305178336
3,Temperature,0,beta12,-353592.2119069441,-1102489.519493009,-6313211.180727978,12495.100610816375,,353610.08250014303,1578607.6549688163
4,Temperature,0,gamma1,3.6512006296284474,3.235842669953705,0.5,4.0,,0.3487782029050477,1.1024454002933943
5,Temperature,0,gamma2,1.5563095252272157,1.4460747328940373,0.25,2.0,,0.4394027663943343,0.5799291507725401
