             QOI  subset    p    s    b       beta0        beta1          beta2        beta12    gamma1    gamma2     objective  p-value
48   Temperature       0  1.0  0.0   48  305.782298   171.038628     115.907716 -1.097784e+05  3.999932  1.194613  1.489695e-03      NaN
49   Temperature       0  1.0  0.0   49  305.783492   151.648825     301.546720 -2.101980e+05  3.999886  1.334979  9.564034e-04      NaN
50   Temperature       0  1.0  0.0   50  305.741534   152.125775     116.723989 -5.558163e+04  3.999848  1.090443  1.223054e-03      NaN
51   Temperature       0  1.0  0.0   51  305.755363   166.479067     108.973212 -7.102202e+04  3.999929  1.119359  1.711355e-03      NaN
52   Temperature       0  1.0  0.0   52  305.791838    45.746666    4612.174739 -8.124250e+05  3.348628  1.815902  1.674339e-03      NaN
53   Temperature       0  1.0  0.0   53  305.803580   152.765108    1208.066492 -1.611728e+06  3.999963  1.708385  1.261719e-03      NaN
54   Temperature       0  1.0  0.0   54  305.782760   155.110027     237.672196 -1.743797e+05  3.999941  1.297629  2.379724e-03      NaN
55   Temperature       0  1.0  0.0   55  305.779704   176.398401      82.769390 -8.122746e+04  3.999960  1.134511  1.590664e-03      NaN
56   Temperature       0  1.0  0.0   56  305.781472   175.872671      88.934636 -8.961607e+04  3.999898  1.153113  1.507887e-03      NaN
57   Temperature       0  1.0  0.0   57  305.749669   152.311867     148.733401 -7.541895e+04  3.999887  1.146159  5.629546e-04      NaN
58   Temperature       0  1.0  0.0   58  305.782761   155.106963     237.689471 -1.743931e+05  3.999925  1.297647  1.408384e-03      NaN
59   Temperature       0  1.0  0.0   59  305.784762   172.080878     154.914952 -1.495883e+05  3.999897  1.250021  5.535540e-04      NaN
60   Temperature       0  1.0  0.0   60  305.782157   157.651513     200.228907 -1.522146e+05  3.999923  1.270406  9.856820e-04      NaN
61   Temperature       0  1.0  0.0   61  305.782763   155.078775     237.767148 -1.744187e+05  3.999820  1.297709  5.532698e-08      NaN
62   Temperature       0  1.0  0.0   62  305.791433    43.632297    3711.820989 -7.416703e+05  3.246319  1.809946  6.959504e-04      NaN
63   Temperature       0  1.0  0.0   63  305.808908    73.930335    7687.826799 -3.711386e+06  3.602276  1.999979  9.325229e-04      NaN
64   Temperature       0  1.0  0.0   64  305.742152   110.068398     102.779133 -3.709425e+04  3.759382  1.079231  3.814023e-04      NaN
65   Temperature       0  1.0  0.0   65  305.774290   132.260350     812.272210 -3.977881e+05  3.999991  1.477184  1.278814e-03      NaN
66   Temperature       0  1.0  0.0   66  305.782763   155.081093     237.750546 -1.744084e+05  3.999826  1.297695  1.201309e-07      NaN
67   Temperature       0  1.0  0.0   67  305.783574   151.676182     302.817643 -2.114016e+05  3.999999  1.335992  2.359801e-03      NaN
68   Temperature       0  1.0  0.0   68  305.787865    61.799479     574.245831 -1.934362e+05  3.403231  1.497297  6.832111e-04      NaN
69   Temperature       0  1.0  0.0   69  305.745140   104.383352     136.438936 -4.602789e+04  3.745304  1.127594  5.831756e-04      NaN
70   Temperature       0  1.0  0.0   70  305.782769   155.049121     237.889271 -1.744809e+05  3.999716  1.297810  2.645690e-07      NaN
71   Temperature       0  1.0  0.0   71  305.787417   194.558632      42.154263 -5.467699e+04  3.999969  1.044059  2.557178e-03      NaN
72   Temperature       0  1.0  0.0   72  305.784202   147.479022     325.111059 -2.216013e+05  3.984023  1.349975  9.758287e-04      NaN
73   Temperature       0  1.0  0.0   73  305.782161   157.664057     200.245184 -1.522441e+05  3.999981  1.270426  1.428397e-05      NaN
74   Temperature       0  1.0  0.0   74  305.782764   155.073755     237.782211 -1.744242e+05  3.999802  1.297721  1.191350e-07      NaN
75   Temperature       0  1.0  0.0   75  305.782763   155.078954     237.766355 -1.744189e+05  3.999820  1.297709  5.508327e-08      NaN
76   Temperature       0  1.0  0.0   76  305.798953   148.109073     444.716510 -3.629180e+05  3.999897  1.440899  7.579047e-04      NaN
77   Temperature       0  1.0  0.0   77  305.809372    73.686557    6952.759638 -3.658272e+06  3.592256  1.999952  9.371392e-05      NaN
78   Temperature       0  1.0  0.0   78  305.784203   147.470845     325.162987 -2.216282e+05  3.983990  1.350008  1.404022e-03      NaN
79   Temperature       0  1.0  0.0   79  305.782761   155.096341     237.708512 -1.743939e+05  3.999884  1.297661  9.714188e-04      NaN
80   Temperature       0  1.0  0.0   80  305.754375   209.058151      23.930226 -2.332373e+04  3.999937  0.873316  3.157316e-03      NaN
81   Temperature       0  1.0  0.0   81  305.787146   123.499770     671.049428 -3.577257e+05  3.911005  1.471583  1.798130e-06      NaN
82   Temperature       0  1.0  0.0   82  305.782764   155.073961     237.781348 -1.744245e+05  3.999802  1.297721  8.036331e-08      NaN
83   Temperature       0  1.0  0.0   83  305.790976    45.181722    2775.260604 -5.890559e+05  3.260794  1.762404  2.106318e-03      NaN
