,QOI,parameter,exact,median,lower bound,upper bound,MAD,bounded
0,Temperature,beta0,1.0,305.79167590043136,305.31267816549706,306.9476608357327,0.0108817294767789,False
1,Temperature,gamma1,2.0,3.6512006296284474,0.5,4.0,0.3487782029050477,True
2,Temperature,gamma2,1.0,1.5563095252272157,0.25,2.0,0.4394027663943343,True
