,QOI,subset,p,s,b,beta0,beta1,beta2,beta12,gamma1,gamma2,objective,p-value
134,Temperature,0,1.0,1.0,33,305.7918747741638,32.687996406972466,10313.477557264634,-1552921.923145842,3.0643174600726417,1.999979666299092,7.343236046145716e-05,
135,Temperature,0,1.0,1.0,34,306.8724734981071,-1.1132336987164881,-8.900826807038355,16.192297310777395,0.5,0.25,0.0015028424719333118,
136,Temperature,0,1.0,1.0,35,305.7916775275365,31.408201742053222,10084.736711108722,-1453071.2749866664,3.040003969604024,1.999509981429811,2.992817720462799e-05,
137,Temperature,0,1.0,1.0,36,305.92007722009464,87.82227555770504,-3.506623712363114,-920.1599674596275,2.7943310008103825,0.4509061682237727,0.0018243692406403173,
138,Temperature,0,1.0,1.0,37,305.78261525119575,156.2667841157343,227.71963075239904,-169474.3959844148,3.999895023467249,1.291002864725388,0.002095166508025445,
139,Temperature,0,1.0,1.0,38,305.7907951987721,35.323580273467,5741.889075123437,-905187.7919407703,3.1142013203986734,1.8887721818941485,0.0011540621113621985,
140,Temperature,0,1.0,1.0,39,305.7916697989066,31.413981688205677,10066.090782116113,-1450323.5859419906,3.0401191739670828,1.9991232049937178,6.713213776702751e-08,
141,Temperature,0,1.0,1.0,40,305.7916698432838,31.417208689939745,10062.364735292587,-1449903.796655712,3.0401897970759144,1.9990490569233585,3.364114928251699e-07,
142,Temperature,0,1.0,1.0,41,305.791654619051,31.288186014259665,10076.443458530068,-1449586.9186977805,3.0371194372160577,1.9999972007289113,5.930461157455255e-05,
143,Temperature,0,1.0,1.0,42,305.7916732259158,31.379033771454747,10106.669295949592,-1454449.3783332373,3.0394788886781834,1.999872343154858,0.0006044968425674086,
144,Temperature,0,1.0,1.0,43,305.9210888789556,87.29161329951543,-3.4660951970556093,-900.1773487503143,2.7884850119593443,0.44804265136284727,0.001788819194662966,
145,Temperature,0,1.0,1.0,44,305.7916736192589,31.414482613845554,10069.354605403352,-1450991.893227191,3.0401246666310646,1.9992058302989055,7.890286778526279e-08,
146,Temperature,0,1.0,1.0,45,305.78540063761756,61.96923201780787,211.509259732286,-85726.33810605285,3.3431303512789574,1.3494400014994865,1.776868091707341e-06,
147,Temperature,0,1.0,1.0,46,305.79167388503964,31.411788609031504,10072.262196974807,-1451263.321830632,3.040079406143101,1.9992574838899722,1.0078418026527006e-07,
148,Temperature,0,1.0,1.0,47,305.8229711090616,248.9524176644694,-533.1921838311055,-908739.1492469299,3.999945562206451,1.512511264867935,0.002308276893583214,
149,Temperature,0,1.0,1.0,48,305.79291431745855,33.326770996009394,9567.350514707468,-1548564.8788295682,3.0696771574016366,1.9995307845374701,5.4074481729570145e-05,
150,Temperature,0,1.0,1.0,49,305.7928566302554,33.1923638489788,9599.796692637321,-1569538.054360667,3.0665975167121218,1.999952109167488,9.970820445911903e-05,
151,Temperature,0,1.0,1.0,50,305.7916695725345,31.37485710339123,10108.298631029465,-1454048.904460747,3.0394523596446863,1.9998457187495655,0.0006341321094188682,
152,Temperature,0,1.0,1.0,51,305.6867192939305,114.96764071705537,37.936978162199004,-11187.744622864258,3.737639358486485,0.8507541488931405,0.00011519763588846782,
153,Temperature,0,1.0,1.0,52,305.7916413862715,32.45576288879938,8814.510435441047,-1327881.9603957906,3.0572554422161677,1.976544704931987,9.400755097324384e-06,
154,Temperature,0,1.0,1.0,53,305.7879451467353,53.06462576178662,570.0631667648864,-183990.76400419322,3.282634982407328,1.51706164080254,3.1652837027022497e-05,
155,Temperature,0,1.0,1.0,54,305.7929146728423,33.32801577972732,9566.24305730806,-1548621.5923512513,3.0696771574016366,1.9995307845374701,5.4060802793161084e-05,
156,Temperature,0,1.0,1.0,55,305.79167581958563,31.4029943496036,10087.870349975183,-1453233.3939428779,3.0398974105413474,1.9995636550734566,2.9629850296274628e-08,
157,Temperature,0,1.0,1.0,56,305.79079486168257,35.336245576183615,5735.521455630133,-904533.6026130838,3.1144176982636114,1.888567523867833,0.0011539774126184163,
158,Temperature,0,1.0,1.0,57,305.78878795360083,20.500779527227586,8540.91421140858,-861987.3648394666,2.7816418177520976,1.9999986254129498,0.0004021286071546051,
159,Temperature,0,1.0,1.0,58,305.79087780608194,34.85753664498705,6239.628604010776,-962228.5704785098,3.1079648742558588,1.9024538545042438,9.83492499537607e-06,
160,Temperature,0,1.0,1.0,59,305.789931428281,49.11562334525534,804.1081411159944,-246561.1256026583,3.2438225809455625,1.5862450371507224,1.7763637572339958e-05,
161,Temperature,0,1.0,1.0,60,305.7875322054769,116.58606073014003,1146.3325327015968,-488065.7657306057,3.999938569663573,1.5397215950700365,0.002297895149222937,
162,Temperature,0,1.0,1.0,61,305.7916746508443,31.394165962395313,10098.852193947825,-1454488.8562189112,3.0397102151086357,1.9997800486858197,7.89315488492928e-08,
163,Temperature,0,1.0,1.0,62,305.78569362088615,59.66922383337381,236.32849247305376,-91581.6000788071,3.325276527741914,1.3690983187241113,1.9155668642025037e-05,
164,Temperature,0,1.0,1.0,63,305.9210868567091,87.27267791956261,-3.466898199076457,-900.1106109752542,2.788368798180536,0.4480721337205882,0.0018186892314934657,
165,Temperature,0,1.0,1.0,64,305.7916633539077,32.3868465139795,9005.948267843474,-1351302.3664579825,3.0563405591547834,1.9800411031965308,2.045816297198525e-05,
166,Temperature,0,1.0,1.0,65,305.79165805667816,31.4818255714923,9865.200949704253,-1427478.0761188741,3.0410656870783366,1.9959189394725942,2.2409460479455374e-07,
167,Temperature,0,1.0,1.0,66,305.79187770754265,32.69817454243141,10316.996019326474,-1553656.7249512575,3.0645536969354534,1.999997644331443,7.35523447751421e-05,
168,Temperature,0,1.0,1.0,67,305.7908133538565,31.82808919573452,7925.629972647523,-1126361.9404293557,3.0483825024158957,1.9499614489206432,2.6548425203407847e-05,
169,Temperature,0,1.0,1.0,68,305.82188752713586,248.46184274301143,-446.68195993594435,-817566.1553492184,3.9997361356625336,1.4934333169306537,0.0016824826949587148,
170,Temperature,0,1.0,1.0,69,305.9371015334644,90.91684337641239,-3.14271696416453,-804.2616685361221,2.7771618621170773,0.418991141246032,0.0018338662548713905,
171,Temperature,0,1.0,1.0,70,305.7927168455464,32.158916609521306,9462.06410742423,-1487339.4094044587,3.0482104233383547,1.9999311913135598,3.7658083472576694e-05,
