QOI,X1,Temperature
subset,,0
0,0.0909313534093646,True
1,0.11370645671722239,True
2,0.14418897770893674,True
3,0.1841001150019505,True
4,0.22840836479998242,True
5,0.2871904662373521,True
6,0.37151132884054006,True
