             QOI  subset    p    s    b       beta0     beta1    gamma1  objective  p-value
73   Temperature       0  1.0  0.0   73  305.532945  1.876979  0.791016   0.006440      NaN
74   Temperature       0  1.0  0.0   74  305.691609  2.297937  1.177224   0.004092      NaN
75   Temperature       0  1.0  0.0   75  305.652559  2.027198  0.997015   0.005323      NaN
76   Temperature       0  1.0  0.0   76  305.542214  2.160576  0.905111   0.008652      NaN
77   Temperature       0  1.0  0.0   77  305.535895  2.100935  0.869629   0.004729      NaN
78   Temperature       0  1.0  0.0   78  305.501929  1.976552  0.794759   0.006293      NaN
79   Temperature       0  1.0  0.0   79  305.646556  2.398465  1.130078   0.004692      NaN
80   Temperature       0  1.0  0.0   80  305.681531  2.723561  1.304579   0.003544      NaN
81   Temperature       0  1.0  0.0   81  305.691610  2.297931  1.177224   0.007016      NaN
82   Temperature       0  1.0  0.0   82  305.673255  2.101135  1.061251   0.007042      NaN
83   Temperature       0  1.0  0.0   83  305.637022  2.142251  1.055178   0.011233      NaN
84   Temperature       0  1.0  0.0   84  305.536150  1.987793  0.832438   0.013063      NaN
85   Temperature       0  1.0  0.0   85  305.743612  2.835702  1.418188   0.007380      NaN
86   Temperature       0  1.0  0.0   86  305.566758  2.030691  0.911133   0.011895      NaN
87   Temperature       0  1.0  0.0   87  305.508602  1.946932  0.787028   0.012591      NaN
88   Temperature       0  1.0  0.0   88  305.678720  2.400606  1.159977   0.007948      NaN
89   Temperature       0  1.0  0.0   89  305.627437  2.171404  1.041428   0.005963      NaN
90   Temperature       0  1.0  0.0   90  305.613379  1.958697  0.933512   0.009926      NaN
91   Temperature       0  1.0  0.0   91  305.676772  2.155175  1.100345   0.004600      NaN
92   Temperature       0  1.0  0.0   92  305.677689  2.478742  1.234277   0.012914      NaN
93   Temperature       0  1.0  0.0   93  305.721918  2.866541  1.398128   0.010895      NaN
94   Temperature       0  1.0  0.0   94  305.616499  1.988015  0.938148   0.011600      NaN
95   Temperature       0  1.0  0.0   95  305.686748  2.275406  1.130078   0.014119      NaN
96   Temperature       0  1.0  0.0   96  305.520097  2.185712  0.874105   0.011984      NaN
97   Temperature       0  1.0  0.0   97  305.732578  2.727179  1.377268   0.016010      NaN
98   Temperature       0  1.0  0.0   98  305.462376  2.006804  0.760010   0.010131      NaN
99   Temperature       0  1.0  0.0   99  305.515152  1.983468  0.826009   0.009390      NaN
100  Temperature       0  1.0  0.0  100  305.673352  2.108415  1.089003   0.009270      NaN
101  Temperature       0  1.0  1.0    0  305.700383  2.439019  1.249674   0.011330      NaN
102  Temperature       0  1.0  1.0    1  305.022112  1.880205  0.365799   0.019016      NaN
103  Temperature       0  1.0  1.0    2  305.572641  1.883040  0.842773   0.018269      NaN
104  Temperature       0  1.0  1.0    3  305.776811  2.896713  1.552425   0.008562      NaN
105  Temperature       0  1.0  1.0    4  305.714312  2.774735  1.354530   0.013054      NaN
106  Temperature       0  1.0  1.0    5  305.700185  2.436696  1.248600   0.011729      NaN
107  Temperature       0  1.0  1.0    6  305.739137  2.202759  1.231174   0.013741      NaN
108  Temperature       0  1.0  1.0    7  305.806975  3.000516  1.654457   0.018382      NaN
109  Temperature       0  1.0  1.0    8  305.693309  2.337785  1.208854   0.007025      NaN
110  Temperature       0  1.0  1.0    9  305.772530  2.954761  1.552189   0.008568      NaN
111  Temperature       0  1.0  1.0   10  305.724707  3.096657  1.479960   0.010879      NaN
112  Temperature       0  1.0  1.0   11  305.748072  3.332113  1.587511   0.002453      NaN
113  Temperature       0  1.0  1.0   12  305.794140  2.771000  1.552110   0.011886      NaN
114  Temperature       0  1.0  1.0   13  305.739155  2.134460  1.184744   0.012601      NaN
115  Temperature       0  1.0  1.0   14  305.802216  3.455293  1.706462   0.008643      NaN
116  Temperature       0  1.0  1.0   15  305.700309  2.437705  1.249197   0.006938      NaN
117  Temperature       0  1.0  1.0   16  305.652363  2.242118  1.122677   0.017898      NaN
118  Temperature       0  1.0  1.0   17  305.709715  2.723586  1.329370   0.005747      NaN
119  Temperature       0  1.0  1.0   18  305.635554  2.196483  1.070334   0.018790      NaN
120  Temperature       0  1.0  1.0   19  305.617610  2.181717  1.025369   0.004827      NaN
121  Temperature       0  1.0  1.0   20  305.700655  2.441262  1.250987   0.001101      NaN
122  Temperature       0  1.0  1.0   21  305.782614  2.874922  1.540487   0.014291      NaN
123  Temperature       0  1.0  1.0   22  305.621717  2.069731  1.012672   0.009975      NaN
