%eval_id interface mesh_size      num_processors time_step      write_interval duration       tol            t0.01_r2       t0.02_r2       t0.03_r2       t0.04_r2       t0.05_r2       t0.06_r2       t0.07_r2       t0.08_r2       t0.09_r2       t0.1_r2        
1        NO_ID      0              3              0.005          0.01           0.1            1e-06          292.1499939    292.1459961    292.1467285    292.1478882    292.1521606    292.1577454    292.163269     292.1686096    292.1740723    292.1790466    
2        NO_ID      1              3              0.005          0.01           0.1            1e-06          292.1499939    292.1445312    292.1456299    292.1468506    292.1513672    292.1575317    292.1628723    292.1682739    292.1734924    292.1788025    
3        NO_ID      2              5              0.005          0.01           0.1            1e-06          292.1499939    292.1431885    292.1447449    292.1455688    292.1508179    292.1574097    292.1626587    292.1678162    292.172821     292.1779785    
4        NO_ID      3              9              0.005          0.01           0.1            1e-06          292.1499939    292.1403503    292.1424866    292.1437378    292.1502075    292.1572266    292.1625061    292.1676331    292.17276      292.1776123    
5        NO_ID      4              18             0.005          0.01           0.1            1e-06          292.1499939    292.1367188    292.1394348    292.1411743    292.1494446    292.157196     292.1627197    292.1678467    292.1727905    292.177887     
6        NO_ID      5              18             0.005          0.01           0.1            1e-06          292.1499939    292.1316223    292.135376     292.1372986    292.1481628    292.1573181    292.1624451    292.167572     292.1724854    292.1775818    
7        NO_ID      2              5              0.002          0.01           0.1            1e-06          292.1499939    292.1431885    292.1447449    292.1455688    292.1508179    292.1574097    292.1626587    292.1678162    292.172821     292.1779785    
8        NO_ID      2              9              0.001          0.01           0.1            1e-06          292.1499939    292.1431885    292.1447449    292.1455688    292.1508179    292.1574097    292.1625977    292.1676331    292.172699     292.1778259    
9        NO_ID      2              18             0.0005         0.01           0.1            1e-06          292.1499939    292.1382141    292.1405334    292.142334     292.1494141    292.1571045    292.1625061    292.16745      292.1726074    292.1776428    
10       NO_ID      2              36             0.00025        0.01           0.1            1e-06          292.1499939    292.1263123    292.1311951    292.1345825    292.1461792    292.1567993    292.1625061    292.167511     292.172699     292.1776428    
11       NO_ID      2              18             0.0005         0.01           0.1            1e-05          292.1499939    292.1382141    292.1405334    292.142334     292.1494141    292.1571045    292.1625061    292.16745      292.1726074    292.1775818    
12       NO_ID      2              18             0.0005         0.01           0.1            1e-07          292.1499939    292.1382141    292.1405334    292.142334     292.1494141    292.1571045    292.1625061    292.16745      292.1726074    292.1776428    
13       NO_ID      2              18             0.0005         0.01           0.1            1e-08          292.1499939    292.1382141    292.1405334    292.142334     292.1494141    292.1571045    292.1625061    292.16745      292.1726074    292.1776428    
