,QOI,parameter,exact,mean,lower bound,upper bound,boot sd,bounded
0,Temperature,beta0,,307.2445943343477,307.2257403389355,307.2610384919863,0.00917533418739449,
1,Temperature,gamma1,1.0,1.9388184396249277,1.636827528211806,2.0,0.09907027439723552,False
