,QOI,subset,parameter,median,mean,lower bound,upper bound,p-value,MAD,boot sd
0,Temperature,0,beta0,307.24775886958594,307.2445943343477,307.2257403389355,307.2610384919863,,0.003825666001347372,0.00917533418739449
1,Temperature,0,beta1,2697650.8849952808,2156103.5937670995,171409.71733892336,2983705.1242861305,,228045.5672077681,921538.3431611311
2,Temperature,0,gamma1,2.0,1.9388184396249277,1.636827528211806,2.0,,0.0,0.09907027439723552
